\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;moveMethod;moveAttribute;deleteClass;introduceNewPackageForSingleClass;newPackageForImplementations;joinClassesWithCommonSuperclass;
decapsulateAttribute;5;5;2;0;0;0;0;2;
pullUpEncapsulatedAttribute;5;5;2;1;0;0;0;3;
moveMethod;2;2;1;0;0;0;0;1;
moveAttribute;1;1;0;1;0;0;0;1;
deleteClass;2;3;2;2;1;1;3;3;
introduceNewPackageForSingleClass;0;0;0;0;1;1;3;1;
newPackageForImplementations;0;0;0;0;2;2;6;2;
joinClassesWithCommonSuperclass;2;4;2;2;1;1;5;5;
SUM:;=SUMME(B2:CCC9);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC9."TO");
MAXIMUM:;=MAX(B2:CCC9);
AVERAGE:;=MITTELWERT(B2:CCC9);
