\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;moveMethod;moveAttribute;deleteClass;introduceNewPackageForSingleClass;newPackageForImplementations;joinClassesWithCommonSuperclass;
decapsulateAttribute;66;41;3;0;1;0;0;6;
pullUpEncapsulatedAttribute;15;8;3;1;1;0;1;3;
moveMethod;1;0;1;0;0;0;0;1;
moveAttribute;1;0;0;1;0;0;0;1;
deleteClass;2;3;1;2;1;1;2;2;
introduceNewPackageForSingleClass;0;0;0;0;0;0;2;0;
newPackageForImplementations;0;0;0;0;1;1;4;1;
joinClassesWithCommonSuperclass;6;52;1;1;1;1;21;177;
SUM:;=SUMME(B2:CCC9);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC9."TO");
MAXIMUM:;=MAX(B2:CCC9);
AVERAGE:;=MITTELWERT(B2:CCC9);
