RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;48/4;50/0;31/0;16/0;15/0;16/0;17/0;17/0;16/1;17/0;15/1;17/1;16/0;19/0;18/0;19/0;18/0;17/0;23/0;20/0;22/0;21/1;29/0;17/0;22/0;19/0;18/1;18/0;17/0;18/0;17/0;19/0;17/0;21/0;
createConcreteFeature_IN_Feature;31/0;16/0;16/0;16/0;18/0;15/0;18/0;18/0;16/1;18/0;16/0;17/0;18/0;17/0;16/0;17/0;17/0;16/0;17/0;17/0;18/0;16/1;17/0;23/0;16/0;17/0;19/0;19/0;17/0;17/0;17/0;17/0;18/0;18/0;
createGroup_IN_FeatureModel;26/0;17/0;20/0;18/0;17/0;18/0;18/0;21/1;18/0;17/0;18/0;19/1;20/0;19/0;18/0;17/0;19/0;18/0;18/0;18/0;17/0;19/0;16/0;15/0;14/0;17/0;15/0;18/0;17/0;18/0;16/0;20/0;17/0;16/1;
deleteConcreteFeature_IN_Feature;182/5;55/1;69/2;64/1;25/0;64/1;62/1;60/2;27/0;31/0;54/3;56/2;57/1;29/1;36/1;38/0;57/2;23/0;45/1;50/1;57/1;54/0;35/0;25/0;67/2;62/1;68/2;62/2;73/2;52/2;57/4;89/2;61/2;99/2;
FloatTest;42/0;19/0;22/0;20/0;24/0;19/0;20/0;23/0;19/0;22/0;20/0;20/0;26/1;19/0;20/0;19/0;19/0;19/0;20/0;20/0;19/1;21/0;21/0;19/0;19/0;19/1;19/0;20/0;21/1;19/0;20/0;20/0;19/1;19/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;45/2;44/0;39/1;30/1;22/0;32/0;21/0;36/1;22/0;21/0;38/1;21/0;21/0;21/1;22/0;20/0;28/0;22/0;23/0;22/0;28/0;22/0;21/0;20/0;35/0;30/0;37/1;23/0;53/1;48/1;48/1;48/0;48/0;72/3;
removeFromGroup_features_Feature;67/1;26/0;23/0;24/0;24/0;30/0;51/1;38/1;25/0;23/0;24/0;23/0;24/0;24/0;23/0;28/0;23/0;23/0;23/0;24/0;24/0;31/0;24/0;25/0;24/0;35/0;25/0;38/0;27/0;24/0;25/0;24/0;24/0;35/1;
addToGroup_features_Feature;38/0;23/0;25/0;25/0;26/0;24/0;25/0;27/1;24/0;23/0;24/0;25/0;24/0;24/0;28/0;24/1;23/0;24/0;24/0;25/0;27/0;25/0;24/0;24/0;26/0;24/0;27/0;24/0;25/0;25/0;25/0;24/0;25/0;25/0;
changeGroupFromALTtoOR;83/0;24/0;24/0;24/0;25/0;23/0;70/0;24/1;68/0;25/0;24/0;25/0;24/0;24/0;24/0;23/0;23/0;23/0;25/0;24/0;24/0;24/0;25/0;26/0;27/0;23/0;23/0;25/0;26/0;24/0;24/0;25/0;24/1;25/0;
createConcreteFeature_IN_Feature;32/0;24/0;24/0;24/0;18/0;20/0;19/0;18/0;65/0;19/0;20/0;40/0;20/0;18/0;18/0;19/0;22/0;19/0;18/0;18/0;19/0;19/0;19/0;19/0;19/0;19/0;19/0;19/0;20/0;19/0;20/0;20/0;19/0;20/0;
createGroup_IN_FeatureModel;39/0;20/0;19/0;19/1;22/0;21/0;19/0;19/0;20/0;18/0;19/0;22/0;20/0;21/1;19/0;19/0;20/0;18/0;20/0;25/0;19/0;21/0;20/0;21/0;20/0;25/0;23/0;20/0;20/0;21/0;20/0;20/0;19/0;20/0;
deleteExcludeConstraint_IN_FeatureModel;35/0;19/0;20/1;20/0;18/0;19/0;21/1;21/0;20/0;20/0;19/0;334/2;27/0;25/0;23/0;21/0;22/0;22/0;22/0;22/0;22/0;22/0;21/1;21/0;22/0;21/0;23/0;327/2;42/0;25/0;24/0;24/0;23/0;22/1;
