RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;46/4;48/0;36/0;18/0;15/0;15/0;18/0;16/0;18/0;19/1;18/0;17/0;18/1;21/0;17/0;17/1;16/0;18/0;17/0;17/0;16/0;19/0;18/0;19/0;17/1;20/0;20/1;18/0;29/0;22/0;22/1;24/0;21/0;
createConcreteFeature_IN_Feature;37/0;21/0;18/0;20/0;20/0;17/0;18/0;19/0;19/0;19/0;20/0;20/1;18/0;20/0;50/0;26/0;55/0;28/0;25/0;26/0;27/0;22/0;21/0;30/0;24/1;20/0;22/0;22/0;21/0;20/1;22/1;20/0;20/0;
createGroup_IN_FeatureModel;33/0;24/0;22/0;20/0;20/0;21/0;24/0;24/1;20/1;20/0;20/0;20/0;21/0;19/0;20/0;20/0;19/0;20/0;19/0;22/0;19/0;19/0;19/0;21/0;20/0;21/0;21/0;19/0;21/0;19/0;20/0;19/0;22/0;
deleteConcreteFeature_IN_Feature;176/5;62/0;64/1;57/1;20/0;43/1;58/2;22/0;30/1;72/2;53/1;55/1;26/0;39/0;46/0;61/2;29/0;52/1;63/0;56/1;35/0;23/0;69/2;65/2;65/3;53/1;90/2;74/2;64/2;62/1;80/2;56/2;78/2;
FloatTest;37/0;19/0;20/0;19/0;20/0;21/0;20/0;19/0;20/0;21/0;20/0;22/0;19/0;19/0;20/0;22/0;22/0;25/0;22/0;18/0;21/0;20/0;24/0;19/1;18/0;19/0;19/0;19/0;19/1;19/0;18/0;19/0;20/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;45/2;103/1;70/1;28/1;20/1;30/0;44/1;23/0;20/0;37/1;21/1;19/0;22/0;20/1;23/0;28/0;25/1;23/0;24/0;30/1;23/1;23/0;38/1;31/0;43/0;22/0;44/0;40/1;43/0;44/1;35/1;43/1;59/1;
addToGroup_features_Feature;44/1;28/0;24/0;25/0;27/0;24/0;24/1;23/0;23/0;23/1;27/0;24/0;26/0;27/0;24/0;23/0;22/0;23/0;23/0;24/0;29/0;25/0;25/0;24/0;25/0;25/0;24/0;24/0;24/0;24/0;25/0;23/0;24/0;
changeGroupFromALTtoOR;92/0;24/0;25/0;23/0;23/0;22/0;23/0;70/0;22/0;22/0;22/0;26/0;23/0;23/0;23/0;22/0;22/0;22/0;24/0;23/0;22/0;22/0;23/0;22/0;23/0;23/0;25/0;23/0;23/0;23/0;23/0;23/0;23/0;
createConcreteFeature_IN_Feature;32/0;24/0;24/0;22/1;23/0;23/0;24/0;25/0;23/0;23/0;24/0;24/0;23/0;23/0;23/0;23/0;23/0;23/0;27/0;24/0;23/0;23/0;23/0;23/0;23/0;24/0;24/0;23/0;23/0;22/0;24/0;24/0;24/0;
createGroup_IN_FeatureModel;35/0;26/0;23/0;23/0;23/0;24/0;24/0;24/0;23/0;24/0;25/0;24/0;24/0;25/0;24/0;23/1;25/0;23/0;24/0;24/0;24/0;24/0;24/0;24/0;24/0;25/0;25/0;26/0;25/0;24/0;25/0;24/0;26/0;
deleteExcludeConstraint_IN_FeatureModel;34/0;24/0;25/0;24/0;24/0;24/0;24/0;24/0;23/0;24/0;373/4;40/0;30/0;28/1;20/0;20/0;21/0;22/0;21/0;22/0;20/0;21/0;20/0;21/0;20/0;332/3;38/0;23/1;23/1;25/0;24/0;22/0;23/0;
deleteRequireConstraint_IN_FeatureModel;41/0;22/1;22/0;23/0;22/0;22/0;22/0;21/1;22/0;22/0;22/0;297/1;41/0;25/0;24/0;24/0;24/0;27/0;25/0;24/0;24/1;26/0;24/1;24/1;26/0;24/0;361/2;41/0;28/0;27/0;21/0;21/0;20/0;
setFeatureConcrete;36/0;30/0;21/0;21/0;21/0;21/0;22/0;20/0;20/0;22/0;22/0;21/0;68/0;21/0;21/0;70/0;21/0;21/0;21/0;20/0;21/0;21/0;25/0;22/0;25/0;25/0;24/0;26/0;26/0;27/0;24/0;24/0;20/0;
setFeatureOptional;31/0;20/0;75/0;71/0;21/0;21/0;20/0;21/0;21/0;78/0;22/1;23/0;23/0;69/0;21/0;21/0;20/0;22/0;26/0;23/0;20/0;20/0;77/0;22/0;82/0;22/1;22/0;81/0;89/0;84/0;22/0;23/0;22/0;
createAbstractFeature_IN_Feature;38/0;32/0;35/0;21/0;22/1;25/0;21/0;20/0;21/0;21/0;22/1;23/0;22/0;22/0;23/0;22/0;22/0;21/0;22/0;22/0;23/0;22/1;22/0;22/0;25/0;22/0;23/0;24/0;22/0;23/0;27/0;23/0;24/0;
deleteAbstractFeature_IN_Feature;60/1;28/0;45/1;37/1;24/0;42/0;43/1;25/0;28/0;43/1;48/1;37/1;30/0;28/0;29/0;39/1;25/0;37/0;38/1;39/1;25/0;31/1;52/1;48/1;55/1;44/1;68/1;47/0;49/1;60/1;49/1;46/1;61/2;
changeGroupFromORtoALT;42/0;25/0;24/0;22/0;22/0;22/0;77/0;23/0;22/0;22/0;23/0;22/0;22/0;23/0;22/0;23/0;68/1;23/0;22/0;24/0;22/0;23/0;23/0;24/0;28/0;76/0;25/0;23/0;75/0;24/0;24/0;22/0;76/0;
createExcludeConstraint_IN_FeatureModel;39/0;35/0;36/0;23/0;23/0;23/0;23/0;24/0;23/0;24/0;23/0;23/0;26/0;23/0;22/0;24/0;23/1;22/0;23/0;24/0;30/0;24/1;24/0;25/0;24/0;25/0;22/0;24/0;24/0;24/0;24/0;23/0;24/0;
createRequireConstraint_IN_FeatureModel;42/0;34/0;43/0;27/0;32/0;30/0;30/0;27/0;29/0;31/0;29/0;29/0;27/0;27/0;26/0;28/0;26/0;25/0;27/1;26/0;27/0;27/0;26/0;27/0;26/1;28/0;28/0;26/0;27/0;28/0;29/0;26/0;28/0;
