RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];57/6;56/1;39/0;235/0;46/0;29/0;32/0;27/0;26/0;26/0;26/0;31/0;29/0;30/0;26/0;28/1;66/0;26/0;27/0;31/0;82/0;28/0;26/0;26/1;28/1;118/0;36/1;27/1;29/0;32/0;28/1;28/0;26/0;26/0;35/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];36/0;23/0;24/0;37/0;22/0;22/0;21/0;20/0;20/0;21/0;20/0;19/0;19/0;19/0;19/0;19/1;29/0;19/0;20/0;18/0;32/0;19/0;22/0;20/0;19/0;28/0;19/0;20/0;27/0;25/0;22/0;22/0;19/0;19/0;21/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];30/0;19/0;18/1;52/0;27/0;21/0;21/1;21/0;22/0;22/0;22/0;23/0;22/1;26/1;26/1;22/0;70/0;28/0;21/0;23/0;65/0;30/0;24/0;24/0;23/0;53/0;27/0;25/1;25/0;26/0;27/0;28/0;26/0;25/0;25/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];62/5;40/1;53/2;61/2;37/0;85/3;74/1;92/3;38/0;36/0;58/2;50/1;50/1;27/2;39/0;33/1;43/1;21/0;41/1;47/1;49/1;42/0;32/0;21/0;48/2;51/1;56/2;43/1;61/2;46/2;52/2;61/1;68/1;62/2;78/1;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];41/0;22/0;22/1;22/0;22/0;23/0;20/0;22/0;23/0;21/0;22/0;22/0;21/0;22/0;21/0;20/0;21/0;22/0;21/0;21/0;24/0;23/0;21/0;21/0;24/0;22/1;27/0;22/0;21/0;21/1;21/0;23/0;22/0;20/0;20/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];53/2;43/1;38/1;31/0;23/0;31/1;25/0;38/0;24/1;24/0;45/1;27/0;23/0;24/1;22/1;25/0;30/0;22/1;22/0;23/0;37/1;29/0;23/0;23/0;36/1;35/0;39/0;27/0;50/1;44/1;49/1;49/1;46/0;46/1;57/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];64/0;28/0;25/0;24/0;18/1;18/0;44/1;30/0;19/0;19/1;19/0;19/0;20/0;19/0;21/0;27/0;25/0;24/0;23/1;22/1;26/1;59/1;27/0;22/1;25/0;36/1;26/0;38/1;25/0;21/0;41/1;26/0;23/0;24/0;42/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];47/0;24/0;24/0;55/0;27/0;25/0;24/0;26/0;22/0;22/0;25/0;24/0;23/0;22/1;22/0;23/0;44/0;25/0;28/0;22/0;46/0;25/0;23/0;22/0;23/0;84/0;29/0;25/0;23/0;28/0;27/0;24/0;23/0;24/0;28/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];94/0;24/0;23/0;23/0;21/0;21/0;71/0;23/0;66/0;21/0;22/0;23/0;22/0;21/0;21/0;22/0;21/0;23/0;23/0;22/0;21/0;22/0;22/0;23/0;22/0;22/0;22/0;23/0;22/0;22/0;21/1;22/0;22/0;21/0;22/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/0;22/0;21/0;28/0;22/0;21/0;23/0;23/0;22/0;22/0;25/0;24/0;23/0;23/0;21/0;22/0;29/0;23/0;23/0;23/0;29/0;24/0;22/0;22/0;22/1;27/0;23/0;22/0;23/1;23/0;22/1;23/0;24/0;23/0;23/0;
