RUNTIME-essential[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;179/;72/;119/;178/;46/;79/;63/;29/;33/;126/;63/;57/;44/;168/;52/;122/;48/;969/;61/;161/;38/;113/;104/;304/;107/;37/;112/;73/;68/;129/;84/;58/;
createConcreteFeature_IN_Feature;46/;34/;17/;32/;18/;19/;22/;17/;18/;17/;20/;20/;17/;19/;19/;30/;19/;21/;103/;43/;18/;17/;17/;31/;19/;18/;18/;18/;18/;18/;19/;20/;
createGroup_IN_FeatureModel;473/;34/;808/;164/;44/;450/;409/;33/;33/;934/;43/;33/;33/;309/;30/;83/;25/;3245/;116/;68/;53/;236/;818/;94/;927/;40/;1124/;382/;442/;991/;740/;56/;
deleteConcreteFeature_IN_Feature;105/;39/;62/;70/;29/;98/;97/;28/;39/;71/;55/;64/;29/;39/;40/;57/;26/;59/;61/;94/;42/;30/;84/;93/;79/;82/;91/;70/;107/;134/;77/;105/;
FloatTest;54/;27/;28/;26/;27/;28/;26/;26/;26/;27/;25/;25/;26/;27/;29/;26/;29/;44/;38/;38/;35/;34/;29/;30/;29/;27/;27/;28/;32/;36/;31/;30/;
moveFeature_FROM_Feature_children_TO_Feature_Feature;84/;31/;62/;47/;31/;49/;64/;37/;30/;72/;38/;33/;32/;31/;31/;45/;32/;30/;78/;46/;29/;29/;59/;72/;63/;42/;70/;78/;61/;52/;58/;83/;
addToGroup_features_Feature;94/;49/;96/;102/;38/;54/;54/;33/;37/;89/;40/;33/;43/;119/;43/;94/;41/;645/;93/;126/;64/;129/;81/;192/;76/;35/;91/;59/;57/;84/;83/;39/;
changeGroupFromALTtoOR;166/;33/;35/;37/;34/;39/;38/;113/;42/;42/;43/;32/;31/;35/;37/;32/;33/;32/;34/;38/;42/;34/;35/;33/;40/;41/;37/;38/;42/;156/;38/;38/;
createConcreteFeature_IN_Feature;76/;40/;48/;81/;41/;42/;46/;48/;46/;43/;38/;44/;50/;44/;41/;67/;51/;44/;140/;72/;44/;41/;43/;76/;43/;45/;47/;48/;52/;47/;52/;69/;
createGroup_IN_FeatureModel;663/;54/;772/;114/;33/;375/;432/;43/;38/;702/;50/;35/;38/;281/;42/;78/;39/;3173/;171/;71/;44/;231/;746/;87/;823/;52/;927/;433/;497/;725/;828/;67/;
deleteExcludeConstraint_IN_FeatureModel;84/;56/;44/;46/;40/;49/;35/;44/;37/;35/;630/;61/;39/;36/;42/;37/;37/;37/;43/;44/;37/;44/;44/;43/;46/;658/;65/;42/;35/;37/;36/;37/;
deleteRequireConstraint_IN_FeatureModel;63/;35/;35/;36/;53/;50/;37/;35/;34/;35/;45/;561/;62/;39/;40/;35/;32/;35/;35/;50/;37/;34/;35/;48/;33/;48/;635/;63/;43/;33/;34/;34/;
setFeatureConcrete;67/;58/;35/;33/;35/;35/;32/;43/;32/;41/;33/;32/;111/;43/;40/;132/;31/;41/;33/;36/;46/;30/;31/;45/;32/;31/;46/;37/;32/;32/;36/;32/;
setFeatureOptional;70/;31/;174/;141/;32/;41/;44/;34/;43/;130/;33/;32/;43/;130/;53/;49/;36/;49/;48/;37/;36/;38/;163/;38/;159/;42/;41/;156/;164/;38/;37/;43/;
createAbstractFeature_IN_Feature;72/;68/;76/;51/;43/;48/;46/;35/;49/;54/;58/;46/;37/;34/;50/;55/;42/;35/;90/;52/;47/;38/;39/;49/;43/;39/;39/;40/;49/;44/;52/;39/;
deleteAbstractFeature_IN_Feature;110/;56/;96/;80/;43/;89/;102/;46/;73/;91/;90/;68/;58/;51/;55/;73/;43/;81/;90/;83/;68/;54/;109/;86/;102/;84/;137/;96/;123/;106/;108/;158/;
changeGroupFromORtoALT;87/;39/;42/;39/;39/;39/;157/;41/;41/;52/;62/;43/;47/;45/;40/;39/;129/;43/;44/;43/;40/;45/;37/;37/;61/;140/;37/;49/;41/;208/;41/;133/;
createExcludeConstraint_IN_FeatureModel;71/;64/;72/;65/;39/;42/;37/;43/;36/;37/;37/;37/;52/;36/;41/;64/;41/;3116/;241/;70/;53/;40/;36/;68/;51/;48/;50/;52/;46/;42/;39/;45/;
createRequireConstraint_IN_FeatureModel;80/;69/;79/;82/;41/;41/;49/;49/;59/;55/;52/;45/;42/;50/;57/;83/;44/;53/;397/;82/;45/;56/;40/;63/;38/;34/;44/;38/;34/;32/;35/;475/;
deleteConcreteFeature_IN_Feature;140/;52/;72/;67/;34/;74/;78/;42/;55/;72/;64/;63/;41/;54/;42/;71/;41/;68/;65/;63/;45/;56/;89/;73/;92/;80/;115/;92/;73/;86/;119/;105/;
setFeatureAbstract;95/;40/;43/;159/;39/;51/;40/;39/;40/;41/;58/;43/;56/;42/;43/;42/;40/;41/;40/;139/;129/;39/;69/;49/;49/;55/;42/;41/;56/;48/;42/;53/;
setFeatureMandatory;78/;43/;193/;42/;56/;57/;51/;42/;50/;166/;43/;52/;40/;40/;39/;39/;40/;40/;61/;137/;39/;132/;136/;38/;36/;37/;188/;42/;152/;161/;184/;157/;
mutuallyExchangeMandatoryAndOptional;80/;45/;225/;224/;51/;40/;49/;39/;34/;218/;40/;38/;39/;191/;40/;51/;66/;46/;44/;285/;62/;198/;290/;47/;292/;48/;302/;301/;271/;290/;308/;329/;
ReplaceFeature;253/;60/;249/;131/;46/;154/;236/;52/;68/;269/;77/;73/;55/;92/;61/;106/;52/;278/;122/;118/;57/;83/;298/;251/;296/;139/;391/;163/;207/;347/;335/;211/;
Generalization_2-4;97/;63/;299/;256/;52/;48/;44/;40/;39/;260/;58/;62/;56/;206/;50/;47/;55/;39/;54/;40/;38/;41/;295/;40/;269/;45/;41/;278/;314/;49/;41/;52/;
ExtractALTGroup;77/;41/;43/;41/;50/;45/;161/;66/;50/;50/;557/;89/;52/;40/;37/;56/;147/;41/;39/;41/;40/;42/;41/;41/;50/;986/;89/;59/;93/;314/;68/;193/;
Refactoring_1-1;144/;48/;87/;167/;73/;96/;116/;63/;53/;90/;53/;908/;117/;53/;50/;141/;65/;44/;147/;215/;58/;52/;74/;136/;80/;60/;3027/;64/;84/;80/;113/;107/;
Refactoring_1-3;133/;50/;92/;64/;63/;69/;81/;48/;62/;70/;48/;65/;52/;51/;73/;67/;57/;47/;115/;103/;46/;71/;69/;64/;85/;52/;60/;57/;68/;58/;57/;101/;
Refactoring_1-5;197/;65/;223/;209/;65/;94/;89/;86/;71/;226/;50/;72/;52/;194/;50/;68/;56/;52/;5302/;288/;68/;58/;292/;90/;234/;55/;68/;250/;187/;63/;79/;9300/;
Refactoring_1-8;152/;105/;134/;125/;47/;58/;70/;50/;60/;67/;75/;47/;46/;52/;53/;68/;50/;50/;448/;89/;55/;51/;87/;130/;71/;61/;97/;68/;73/;72/;80/;959/;
Specialization_3-4;177/;43/;296/;48/;48/;44/;55/;45/;48/;312/;52/;47/;49/;51/;64/;54/;54/;51/;85/;328/;49/;244/;332/;50/;46/;44/;285/;69/;371/;363/;351/;358/;
Specialization_3-6;130/;117/;111/;47/;51/;50/;78/;49/;60/;73/;47/;45/;63/;47/;57/;55/;72/;48/;50/;47/;47/;78/;69/;102/;50/;143/;53/;67/;69/;59/;55/;94/;
