RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];50/5;58/0;40/0;15/1;16/0;17/0;18/0;18/0;16/0;15/0;15/0;20/0;21/0;22/0;16/1;18/1;17/0;17/0;16/0;17/1;18/0;19/0;16/0;19/0;20/0;20/0;19/0;19/0;21/0;19/1;20/0;22/1;22/0;19/1;20/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];37/0;17/0;19/0;18/0;18/0;18/0;19/1;19/0;20/0;17/0;18/0;18/0;17/0;18/0;19/1;18/0;19/0;19/0;19/0;18/0;20/1;25/0;19/0;34/0;20/0;19/1;20/1;22/0;21/0;21/0;19/0;24/0;16/0;20/0;21/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];33/0;16/1;18/0;16/0;18/1;15/0;22/0;17/0;16/0;17/0;16/0;21/0;17/1;16/0;17/0;16/0;16/0;15/1;17/0;18/1;16/0;17/0;15/0;16/0;17/0;16/0;16/0;16/0;15/0;15/0;17/0;18/0;22/0;20/0;20/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];187/8;84/1;68/2;68/1;25/1;54/1;63/1;72/3;30/0;38/0;77/3;65/2;60/1;33/0;46/0;41/0;72/2;31/0;54/0;57/0;71/1;69/1;39/0;21/0;57/3;73/1;91/3;63/4;92/2;54/1;73/3;83/2;92/1;60/1;90/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];46/0;23/0;23/0;21/0;21/0;23/0;21/0;28/0;24/0;21/0;27/0;23/0;21/0;20/0;20/0;20/0;21/0;20/0;22/0;21/0;22/0;28/0;24/0;19/0;21/0;22/0;21/0;26/0;26/0;22/0;23/0;24/0;21/1;35/0;29/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];56/3;54/0;47/1;34/1;24/1;32/1;26/0;44/0;27/0;24/0;41/0;27/1;26/0;23/0;27/0;29/0;36/1;26/0;23/0;23/1;37/0;27/0;24/1;26/0;41/0;38/1;44/1;28/0;54/0;45/1;48/1;50/1;43/0;48/1;76/2;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];72/1;44/0;34/0;28/0;26/0;27/0;116/1;42/1;29/0;26/1;27/0;19/0;20/0;20/1;21/0;23/0;18/1;18/0;20/0;22/0;19/0;27/1;21/0;20/0;19/0;41/0;30/1;36/0;25/0;22/0;33/1;23/0;22/1;21/1;36/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];43/0;23/0;22/0;22/0;22/0;21/0;21/0;21/0;23/1;27/0;25/0;24/0;24/0;23/0;22/0;21/0;23/0;23/0;23/0;23/0;22/0;23/0;23/0;25/0;23/0;24/0;23/0;22/0;24/0;22/0;23/0;23/0;22/0;22/0;21/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];93/0;22/0;21/0;20/0;20/1;20/0;68/0;22/0;62/0;22/0;19/0;20/0;21/0;21/0;20/0;21/0;19/0;20/0;20/0;21/0;20/0;20/0;21/0;20/0;20/0;21/0;20/0;24/0;24/0;20/0;24/0;27/0;22/0;22/0;26/0;
