RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];50/5;61/1;44/1;186/0;63/0;30/0;32/1;28/0;29/1;28/0;28/0;34/0;32/1;34/0;30/0;34/0;73/0;29/1;28/0;27/0;80/0;31/0;30/0;29/0;36/0;160/0;46/0;34/1;29/1;39/0;28/0;27/0;27/0;26/1;37/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];36/0;35/0;20/0;32/0;19/0;20/0;23/0;20/0;20/0;24/0;19/0;22/0;22/0;20/0;23/0;25/0;31/0;21/0;24/0;18/0;31/0;21/0;20/0;19/0;24/0;30/0;20/0;19/0;20/0;20/0;26/0;27/0;22/0;21/0;24/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];33/0;22/1;20/0;60/0;31/0;21/1;26/0;22/0;23/0;26/0;23/0;22/0;29/0;24/0;24/1;21/0;50/0;26/0;31/0;24/0;53/1;26/0;24/0;24/0;24/0;58/0;30/0;24/0;25/0;24/0;24/0;26/0;23/0;27/0;24/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];62/5;34/0;57/3;50/2;24/0;59/2;56/1;67/2;28/1;38/0;64/3;63/2;42/2;32/10;40/1;35/0;71/2;26/0;52/1;49/1;53/1;50/1;42/1;24/1;82/3;59/1;61/2;44/1;73/2;63/3;60/2;79/2;86/2;57/2;86/1;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];52/0;23/0;26/0;31/0;24/0;24/0;26/0;23/0;30/0;25/0;31/0;28/0;24/0;24/0;23/0;33/0;24/0;24/0;25/0;24/0;23/0;24/0;23/0;22/0;23/0;28/0;23/0;23/0;23/0;23/0;24/0;23/0;23/0;27/0;32/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];58/3;65/1;62/1;40/0;26/1;35/1;26/0;43/1;29/0;26/0;43/1;30/0;26/0;26/1;28/0;28/0;38/1;27/0;34/0;28/0;35/0;29/0;27/1;26/1;46/0;41/1;46/0;30/0;54/2;48/1;51/1;51/1;48/0;47/1;66/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];76/1;36/0;21/0;20/1;20/1;20/0;99/1;36/1;22/0;21/0;22/0;20/0;21/1;23/0;23/1;22/0;21/0;21/1;20/1;20/0;21/0;103/1;33/0;24/1;25/0;52/1;25/1;50/1;31/1;26/1;44/1;29/1;26/0;25/1;37/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];38/0;23/0;24/0;47/0;26/0;24/0;26/0;27/0;23/0;31/0;26/0;26/0;25/0;26/0;26/0;29/0;52/0;27/0;26/0;26/0;51/0;28/0;26/0;26/0;25/0;114/0;34/0;28/0;27/0;31/0;35/0;27/0;27/0;27/0;26/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];98/0;26/0;24/0;25/0;24/0;24/0;76/1;25/0;75/0;25/0;24/1;24/0;23/0;23/0;24/0;25/0;26/0;24/0;25/0;24/0;24/0;24/0;24/0;25/0;26/0;22/0;23/0;23/0;22/0;24/0;24/0;23/0;24/0;24/0;23/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];34/0;22/0;23/0;32/0;24/0;23/0;25/0;26/0;26/0;33/0;28/0;27/0;28/0;26/0;27/0;27/1;31/0;27/0;27/0;28/0;37/0;26/0;27/0;26/0;28/0;33/0;28/0;28/0;29/0;29/0;33/0;32/0;32/0;30/0;28/0;
