RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;Specialization_3-2;Specialization_3-3;Specialization_3-4;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];328/114/10;78/41/1;69/51/1;53/44/1;49/41/1;41/39/1;46/49/1;43/51/1;47/42/1;45/41/1;43/42/0;43/44/1;40/40/2;39/29/1;33/28/1;32/30/1;35/30/0;33/30/0;32/29/1;34/32/0;36/28/0;35/34/0;33/27/1;33/27/0;30/30/0;29/31/0;28/29/0;34/31/1;30/31/0;29/27/1;30/33/1;32/35/0;31/30/2;31/34/1;32/35/0;33/35/0;31/29/1;31/30/0;30/30/1;30/28/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];51/27/0;31/27/0;30/29/0;30/28/0;31/26/1;30/27/0;32/30/0;31/28/1;31/40/1;30/27/1;31/27/0;33/29/0;35/31/0;30/26/1;32/28/1;32/27/1;32/29/0;30/29/0;30/32/0;33/31/0;30/29/0;32/28/1;29/28/1;30/28/0;32/28/1;30/29/0;31/28/0;30/30/0;31/29/0;31/30/0;32/36/1;36/33/0;32/29/0;32/28/0;31/30/0;32/32/1;31/29/0;32/30/0;32/28/1;31/29/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];35/32/0;33/34/0;33/34/0;32/36/1;31/32/1;36/33/0;36/36/0;32/33/1;38/34/1;34/33/1;32/38/0;33/37/0;35/37/1;33/33/1;31/33/0;36/32/1;33/31/0;32/32/1;32/32/0;33/33/1;32/32/1;41/36/1;32/32/0;32/33/0;33/32/1;32/33/1;38/32/1;32/34/0;33/32/0;33/32/1;31/33/1;33/34/0;34/34/0;33/36/0;32/35/0;38/39/0;37/33/1;33/34/0;34/37/0;32/35/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];317/167/6;75/42/0;183/142/3;122/86/1;39/33/1;154/133/1;142/67/1;144/103/1;41/32/0;74/41/0;146/95/2;96/44/1;82/45/1;61/34/1;59/34/1;59/39/1;78/56/1;34/27/1;86/46/1;87/48/1;85/57/1;113/52/1;69/38/0;64/38/1;152/91/2;78/42/1;71/39/0;81/59/1;113/89/1;65/34/1;88/51/1;134/110/1;123/83/1;149/109/2;127/90/1;130/97/2;122/85/1;179/138/2;194/138/3;132/94/1;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];52/33/0;34/31/0;34/31/1;34/31/0;33/30/0;35/34/0;34/32/0;31/33/0;35/32/0;31/31/1;33/32/0;35/32/0;35/35/0;35/32/0;34/31/0;33/32/0;34/32/0;36/32/0;34/32/1;36/31/1;34/32/0;35/31/1;34/31/1;34/30/0;34/31/1;33/30/0;35/31/1;35/31/0;35/31/0;34/31/0;34/35/0;35/34/0;35/37/0;36/31/1;34/31/0;35/34/1;35/31/0;35/31/0;35/32/0;33/32/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];100/52/3;56/37/1;93/47/0;64/38/0;33/31/1;77/44/0;38/31/1;89/53/0;36/33/2;34/32/1;99/59/1;36/35/0;38/34/1;36/34/1;35/31/1;35/32/0;64/38/0;36/33/0;34/32/0;35/32/1;64/37/1;35/33/1;33/32/0;35/34/1;87/48/1;37/33/0;37/32/1;71/42/1;91/48/0;41/34/1;37/38/0;109/61/0;96/48/0;110/53/1;91/47/1;94/47/1;78/49/0;167/65/1;186/63/1;98/48/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];142/77/1;42/37/0;42/36/1;40/41/1;38/37/0;44/40/1;160/126/0;112/72/2;45/40/0;44/43/0;51/48/0;44/48/1;47/46/1;43/45/1;48/41/0;49/46/0;43/41/1;39/38/0;42/38/0;41/40/1;40/36/1;164/140/1;52/42/1;45/39/1;42/37/0;40/39/0;40/36/1;94/67/1;43/38/1;42/38/0;160/103/1;49/50/1;48/39/1;115/73/0;51/42/0;106/69/1;46/39/0;46/42/0;43/42/1;41/40/0;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];64/43/0;42/38/0;44/43/0;43/38/1;42/45/0;41/42/0;42/43/1;43/42/1;45/44/0;40/39/0;47/43/1;45/44/1;46/50/0;44/40/0;43/40/1;41/35/0;37/34/1;37/34/0;36/36/0;36/35/0;37/37/1;44/47/0;41/39/0;46/43/0;41/44/0;41/40/0;40/37/0;41/40/1;39/40/1;39/35/0;40/43/0;40/41/0;44/48/1;52/46/0;46/43/0;42/45/0;40/40/0;39/40/1;41/41/1;40/42/1;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];60/34/0;38/32/0;38/34/1;39/33/0;37/36/0;40/34/0;38/38/1;36/37/1;48/35/1;39/34/1;41/46/0;38/39/0;40/35/1;36/34/1;36/36/0;37/39/0;37/33/0;35/33/1;44/36/0;37/35/0;35/34/0;37/33/1;37/34/1;36/40/0;44/36/0;36/36/0;37/36/0;37/36/0;35/37/0;35/31/0;36/35/1;37/38/0;34/32/0;34/32/1;36/33/0;34/36/1;46/40/0;41/40/1;43/37/0;39/34/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];55/37/0;37/33/1;36/33/0;37/36/0;37/37/0;36/34/0;38/37/0;38/35/0;39/38/1;43/35/0;43/39/0;48/41/0;43/37/0;38/35/1;37/33/0;36/34/0;36/35/0;37/35/0;38/34/0;39/36/0;37/33/1;39/39/1;38/39/1;44/41/0;41/41/0;43/40/0;42/38/0;43/39/1;41/39/1;43/41/0;44/45/1;42/42/0;43/38/0;41/42/0;40/39/1;44/42/0;43/38/1;41/43/1;43/39/1;42/43/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];59/43/1;41/44/0;42/43/0;42/40/1;41/39/1;41/42/0;42/42/0;46/42/0;39/41/0;38/40/0;42/42/0;41/43/1;39/39/1;47/42/0;39/41/0;40/43/0;42/41/0;41/41/0;40/38/1;40/40/0;40/42/1;40/39/1;38/39/0;39/40/0;39/40/0;40/41/0;40/39/1;39/39/0;40/40/0;38/39/1;39/40/1;41/40/0;41/40/1;39/40/1;38/42/0;40/41/0;44/43/0;40/44/0;44/39/0;40/41/0;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];51/32/0;40/36/1;36/36/0;37/34/0;37/33/1;38/34/0;37/34/0;37/35/0;40/34/0;34/35/1;36/38/0;762/717/2;52/41/0;43/34/0;36/33/1;36/32/1;35/33/0;35/33/1;37/35/0;51/32/1;35/34/0;43/41/0;34/36/0;35/33/0;36/33/1;35/33/0;36/33/1;38/34/0;37/33/0;36/33/0;864/833/2;74/48/0;44/36/0;39/37/0;38/36/0;43/44/1;47/57/1;48/50/0;49/44/0;47/45/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];72/42/0;65/48/0;44/42/0;43/40/0;43/39/1;43/40/0;56/53/1;45/43/0;43/40/0;41/45/1;45/41/0;44/40/1;815/707/2;77/44/0;44/39/0;42/39/0;42/38/0;40/39/0;42/42/0;41/40/1;41/41/0;46/46/1;40/39/0;43/38/1;41/43/0;45/40/0;42/40/0;46/42/0;42/39/1;42/38/1;42/44/1;1052/980/2;88/45/1;49/48/0;51/48/0;59/48/1;54/46/0;50/46/0;57/46/0;48/47/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];89/55/0;48/44/0;49/43/0;50/46/0;50/45/0;49/49/1;46/47/0;43/46/0;46/47/0;46/43/1;44/45/0;48/45/1;46/43/1;46/43/0;45/42/0;45/42/1;46/45/0;44/40/1;45/41/1;44/43/0;42/40/0;45/44/1;44/41/0;43/41/0;46/41/1;44/40/1;45/40/0;43/41/0;52/40/1;41/40/0;45/43/0;45/58/0;44/40/0;43/41/1;43/40/1;44/41/1;43/40/0;43/38/1;41/43/0;45/46/0;
