\/firstRule / secondRule->;addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;deleteGroup_IN_FeatureModel;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteGroup_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;deleteGroup_IN_FeatureModel;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-2;Generalization_2-2;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;Refactoring_1-9;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;5;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
createConcreteFeature_IN_Feature;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
createGroup_IN_FeatureModel;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
deleteConcreteFeature_IN_Feature;7;1;3;3;2;0;2;1;4;0;0;5;1;1;1;0;0;0;2;0;1;1;2;2;1;0;0;3;0;0;2;4;4;5;0;2;2;3;4;4;4;3;3;6;6;6;5;3;
deleteGroup_IN_FeatureModel;5;0;0;0;49;0;0;2;2;0;0;0;0;29;0;0;0;0;0;0;0;0;0;28;2;0;0;0;0;0;2;71;70;1;0;6;0;0;2;0;2;0;23;49;0;0;0;15;
FloatTest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;5;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;1;
removeFromGroup_features_Feature;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;2;0;0;1;0;0;1;0;1;1;1;3;0;1;0;2;
addToGroup_features_Feature;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
changeGroupFromALTtoOR;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
createConcreteFeature_IN_Feature;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
createGroup_IN_FeatureModel;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
deleteExcludeConstraint_IN_FeatureModel;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;0;0;1;0;0;0;0;0;1;
deleteGroup_IN_FeatureModel;1;0;0;0;27;0;0;1;1;0;0;0;1;17;0;1;0;0;0;1;0;0;1;18;1;0;0;0;1;0;2;51;51;0;0;3;0;0;2;0;2;0;18;30;0;0;0;23;
deleteRequireConstraint_IN_FeatureModel;0;0;0;0;0;0;0;0;0;1;0;0;0;0;10;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;1;0;9;0;0;0;0;0;
setFeatureConcrete;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
setFeatureOptional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
createAbstractFeature_IN_Feature;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
deleteAbstractFeature_IN_Feature;1;0;0;1;1;0;1;1;0;0;0;2;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;1;2;0;0;1;1;1;1;2;1;1;2;2;3;1;1;
changeGroupFromORtoALT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
createExcludeConstraint_IN_FeatureModel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
createRequireConstraint_IN_FeatureModel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
deleteConcreteFeature_IN_Feature;1;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;1;1;2;0;1;0;0;0;0;1;0;1;1;2;2;1;2;
deleteGroup_IN_FeatureModel;1;0;0;0;16;0;0;1;0;0;0;0;0;12;0;0;0;0;1;0;0;0;0;11;0;0;0;0;0;0;0;40;81;0;0;3;0;0;1;0;1;0;16;26;0;0;0;9;
removeFromGroup_features_Feature;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;2;0;0;0;0;
setFeatureAbstract;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
setFeatureMandatory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
mutuallyExchangeMandatoryAndOptional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CreateChildrenFeaturesWithGroup;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
CreateFeatureWithSubFeatures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ReplaceFeature;2;0;1;0;1;0;1;0;3;0;0;1;0;1;1;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;2;5;7;1;1;1;1;1;2;1;1;1;1;8;1;2;0;3;
Generalization_2-2;1;0;0;0;24;0;0;1;1;0;0;0;0;38;0;0;0;0;0;0;0;0;0;31;2;0;0;0;0;0;1;220;207;0;1;5;0;0;1;0;1;0;24;196;0;0;0;24;
Generalization_2-2;2;0;0;0;23;0;0;1;0;0;0;0;0;28;0;0;0;0;0;1;0;0;0;23;1;0;0;0;0;0;1;224;202;0;0;4;0;1;0;0;0;1;19;187;0;0;0;20;
Generalization_2-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Generalization_2-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ExtractALTGroup;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;
Refactoring_1-1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;6;0;0;1;0;0;4;1;1;0;0;0;
Refactoring_1-3;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;
Refactoring_1-4;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;
Refactoring_1-5;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;
Refactoring_1-6;3;0;1;1;0;0;1;0;2;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;3;3;1;0;1;1;1;2;1;1;0;2;8;2;1;1;3;
Refactoring_1-8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;
Refactoring_1-9;2;0;1;0;12;0;0;1;1;0;0;0;0;9;4;0;0;0;0;0;0;0;0;7;0;0;0;0;0;1;1;23;79;0;0;1;4;0;1;1;1;0;14;15;1;1;0;95;
PushDownGroup;3;0;1;0;2;0;0;0;4;0;0;2;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;0;1;23;22;1;0;2;1;1;3;1;5;0;7;47;4;3;1;22;
Specialization_3-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Specialization_3-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Specialization_3-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
Specialization_3-6;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;
SUM:;=SUMME(B2:CCC49);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC49."TO");
MAXIMUM:;=MAX(B2:CCC49);
AVERAGE:;=MITTELWERT(B2:CCC49);
