RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;44/4;45/1;36/0;15/0;16/0;16/0;17/0;15/0;15/0;16/0;15/1;17/0;16/0;17/0;17/0;17/0;16/0;17/0;15/1;17/0;18/0;18/0;18/0;18/0;19/0;21/0;18/0;16/0;17/1;17/0;17/0;20/0;
createConcreteFeature_IN_Feature;33/0;15/0;15/1;14/0;16/0;16/0;17/0;16/0;16/0;15/1;16/0;16/0;16/0;15/0;15/0;15/0;18/0;17/0;15/0;16/0;16/0;15/1;17/0;23/0;22/0;22/0;20/0;24/0;17/0;17/0;20/0;20/0;
createGroup_IN_FeatureModel;25/0;18/0;18/0;19/0;17/0;18/0;20/0;19/0;16/1;20/0;18/0;18/0;18/0;17/1;18/0;20/0;17/1;19/0;18/0;18/0;19/0;18/0;19/0;20/0;18/0;19/0;20/0;18/0;19/0;18/0;18/0;18/0;
deleteConcreteFeature_IN_Feature;164/6;52/0;56/2;66/2;20/0;43/2;51/2;20/0;28/1;59/3;48/1;51/1;24/0;32/0;35/0;60/1;22/0;51/1;52/0;59/1;32/0;23/0;51/2;55/1;79/2;56/1;77/2;54/2;82/1;88/3;73/2;56/1;
FloatTest;32/0;18/0;18/0;19/0;20/0;21/0;19/0;19/0;18/0;17/0;18/0;18/1;19/0;18/0;19/0;19/0;17/0;18/0;17/0;19/0;18/0;18/0;18/0;18/0;18/0;19/0;18/0;18/0;18/0;18/0;19/0;18/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;41/2;42/0;38/1;28/1;20/0;27/1;37/0;21/0;19/0;37/1;24/0;20/0;20/0;20/0;20/0;27/0;24/0;19/0;19/1;26/0;21/0;20/0;35/1;29/0;34/1;23/0;42/1;37/1;47/1;34/0;38/1;52/1;
addToGroup_features_Feature;33/0;24/0;24/0;22/0;22/0;21/0;22/0;22/0;21/0;21/0;22/0;22/1;23/0;21/0;23/0;23/0;20/0;23/0;23/0;21/0;21/0;20/0;21/0;20/0;26/0;26/0;22/0;23/0;21/0;22/0;24/0;23/0;
changeGroupFromALTtoOR;83/0;26/0;21/0;21/0;21/0;22/0;21/0;66/0;22/0;21/0;21/0;22/0;22/0;24/0;20/0;21/0;23/0;21/0;21/0;21/0;20/0;23/0;22/0;21/0;21/0;22/0;23/0;22/0;20/0;21/0;22/0;22/0;
createConcreteFeature_IN_Feature;30/0;25/1;22/0;21/0;22/0;21/0;21/0;22/0;21/0;22/0;23/0;22/0;21/0;22/0;23/0;24/0;22/0;21/0;23/0;22/0;22/0;22/0;23/0;21/0;22/0;23/0;23/0;24/0;23/0;22/0;22/0;22/0;
createGroup_IN_FeatureModel;33/0;23/0;22/0;22/0;22/0;24/0;24/0;22/0;23/0;23/0;23/0;24/0;23/0;22/0;23/0;23/0;24/0;24/0;23/0;23/0;23/0;25/0;23/0;24/0;24/0;24/0;30/0;27/0;30/0;27/0;27/0;26/0;
deleteExcludeConstraint_IN_FeatureModel;33/0;23/0;23/0;23/0;23/0;23/0;24/0;22/0;22/0;22/0;372/2;30/0;27/1;27/0;21/0;21/1;20/0;20/1;22/0;20/0;22/0;20/0;18/0;25/0;20/0;348/3;38/0;22/0;22/0;21/0;22/0;22/0;
deleteRequireConstraint_IN_FeatureModel;36/0;20/1;21/0;20/0;21/0;21/0;21/1;22/1;22/0;22/0;22/0;288/2;39/0;25/0;23/0;23/0;23/0;23/0;23/1;23/0;22/1;22/0;24/0;25/0;23/0;24/0;341/3;65/0;26/0;26/0;19/0;21/0;
setFeatureConcrete;34/0;26/0;20/0;21/0;19/1;21/0;20/0;21/0;21/0;20/0;20/0;21/1;65/0;21/0;23/0;70/0;21/0;20/0;22/0;19/0;20/0;23/0;20/0;20/0;21/0;20/0;21/0;22/0;21/0;21/0;21/0;22/0;
setFeatureOptional;30/0;20/0;75/0;69/0;22/0;21/0;20/1;21/0;20/0;76/0;26/0;21/1;23/0;67/0;30/0;21/0;24/0;22/0;23/0;24/0;22/0;24/0;73/0;24/0;83/1;23/0;21/0;84/0;82/0;23/0;22/1;23/0;
createAbstractFeature_IN_Feature;33/0;30/0;34/0;22/0;20/0;21/0;21/0;22/0;22/0;21/0;22/0;21/0;21/0;20/0;21/0;20/0;21/0;22/0;21/0;21/0;21/0;21/0;21/0;24/0;22/0;21/0;22/0;21/0;23/0;21/0;21/0;22/0;
deleteAbstractFeature_IN_Feature;57/1;29/0;42/1;39/1;23/0;44/1;42/1;23/0;28/0;42/2;36/0;39/1;29/0;29/0;29/0;51/1;24/0;36/1;42/1;41/1;25/0;32/1;52/1;42/0;52/1;43/1;54/1;48/1;58/1;49/1;50/1;62/1;
changeGroupFromORtoALT;43/0;29/0;26/1;27/0;26/0;27/0;84/0;27/0;25/0;26/0;27/0;26/0;26/0;25/0;26/0;25/0;75/0;26/0;26/1;24/0;22/0;22/0;23/0;25/0;24/0;79/0;24/0;27/0;28/0;27/0;30/0;90/0;
createExcludeConstraint_IN_FeatureModel;44/0;33/0;36/0;24/0;25/0;25/0;25/0;30/0;25/1;22/0;23/0;23/0;22/0;22/0;23/0;23/0;27/0;24/0;23/0;23/0;24/0;22/0;22/0;22/0;23/0;22/0;23/0;22/0;24/0;23/0;23/0;25/0;
