RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature;48/5;50/0;38/0;15/0;15/0;16/0;17/0;15/0;15/0;17/1;17/0;17/0;18/0;18/0;15/0;17/0;15/1;16/0;17/0;18/0;18/0;17/0;23/0;18/1;18/0;19/0;22/0;21/0;17/0;16/0;17/0;21/0;18/0;
createConcreteFeature_IN_Feature;34/0;16/0;16/0;16/0;18/0;17/0;17/0;16/0;16/1;17/0;18/0;16/0;17/1;16/0;16/0;16/0;18/0;16/0;16/0;16/1;16/0;17/0;16/1;23/0;16/1;19/0;17/0;17/0;18/0;17/0;19/0;19/0;19/0;
createGroup_IN_FeatureModel;25/0;21/0;18/0;19/0;21/0;18/0;17/0;20/0;18/0;21/0;24/0;30/0;34/0;29/1;27/0;23/1;22/0;24/1;24/0;23/0;22/0;19/0;19/1;23/0;22/0;19/0;18/0;17/0;18/0;18/0;19/0;17/0;17/0;
deleteConcreteFeature_IN_Feature;216/7;63/1;88/3;71/1;23/0;68/2;102/6;32/0;35/1;68/4;66/1;65/2;29/0;47/0;41/1;61/1;27/0;55/1;58/1;63/1;37/1;25/0;72/1;63/1;76/3;56/2;75/2;62/2;71/2;85/1;83/3;55/3;96/2;
FloatTest;40/0;19/0;21/0;22/0;22/0;23/0;24/0;24/0;21/1;22/0;20/0;23/0;19/0;20/0;19/0;20/0;20/0;18/0;20/0;23/0;18/0;20/0;20/0;24/0;19/0;25/0;33/0;23/1;21/0;23/0;22/0;25/0;23/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;46/2;51/0;43/1;30/0;23/0;31/0;43/0;22/0;19/0;39/0;30/0;27/0;24/0;25/0;24/0;36/0;28/0;22/0;23/0;31/2;27/0;22/0;40/0;35/0;40/1;27/0;46/1;42/0;53/1;41/1;94/2;55/1;65/1;
addToGroup_features_Feature;48/0;29/0;30/0;30/0;31/0;30/0;28/0;30/0;32/0;28/0;29/0;28/0;28/0;30/0;28/0;30/0;28/0;27/0;29/0;30/0;28/0;29/0;32/1;29/0;30/0;30/0;30/0;29/0;28/0;31/0;35/0;32/0;30/0;
changeGroupFromALTtoOR;110/0;29/0;33/0;34/0;29/0;32/0;28/0;80/0;26/0;25/1;27/0;26/0;28/0;24/0;25/0;25/0;25/0;30/0;25/0;24/0;24/0;26/0;24/0;26/0;24/1;24/0;25/0;25/0;25/0;24/0;25/0;25/0;24/0;
createConcreteFeature_IN_Feature;35/0;25/0;25/0;25/0;24/0;26/0;25/0;24/0;25/0;27/0;28/0;27/0;29/0;24/0;24/0;26/0;28/0;25/0;28/0;34/0;32/0;27/1;26/0;28/1;26/0;27/0;31/0;27/0;28/0;29/0;28/0;28/0;27/0;
createGroup_IN_FeatureModel;42/0;28/0;25/0;27/0;26/0;26/0;25/0;19/0;19/0;21/0;20/0;19/0;20/0;18/0;19/0;19/0;19/0;18/0;20/0;19/0;21/0;20/0;19/0;20/0;20/0;19/0;26/0;23/0;19/0;20/0;20/0;20/0;19/0;
deleteExcludeConstraint_IN_FeatureModel;37/0;19/0;20/0;18/0;20/0;19/0;19/0;18/0;19/0;20/0;355/3;34/0;28/0;30/0;22/1;23/0;23/0;33/0;29/0;31/0;25/0;30/0;25/0;27/0;26/0;409/2;50/0;29/0;25/0;26/1;29/0;30/0;27/0;
deleteRequireConstraint_IN_FeatureModel;44/0;26/0;27/0;26/0;26/0;27/1;29/0;30/0;26/0;25/0;29/0;340/2;66/0;37/1;32/0;31/0;30/0;31/0;29/0;28/0;26/0;30/0;28/0;27/0;28/0;26/0;379/2;44/0;29/0;28/0;22/0;22/0;22/0;
setFeatureConcrete;40/0;30/0;22/0;24/0;22/0;21/0;21/0;22/0;20/0;20/1;21/0;21/0;76/0;23/0;22/0;81/0;22/0;23/0;27/0;27/0;22/0;21/0;20/1;21/0;22/0;23/0;23/0;22/0;22/0;23/0;22/0;23/0;23/0;
setFeatureOptional;37/0;24/0;83/0;85/0;25/0;28/0;34/0;23/0;24/0;96/0;26/0;23/0;26/0;82/0;24/0;26/0;23/0;23/1;24/0;22/0;24/0;22/0;82/0;24/0;91/0;29/0;24/0;87/0;82/0;23/0;23/0;22/0;24/0;
createAbstractFeature_IN_Feature;35/0;36/0;37/0;37/0;31/0;26/0;28/0;25/0;29/0;28/0;28/0;29/0;28/0;33/1;33/0;29/0;33/0;29/1;35/0;32/0;27/0;32/0;26/0;26/0;28/0;28/0;32/0;27/0;28/0;28/0;28/0;28/0;28/0;
deleteAbstractFeature_IN_Feature;71/1;35/1;53/1;46/1;35/0;51/1;54/1;41/0;38/0;55/1;47/1;46/1;35/1;32/1;36/0;51/1;30/1;49/1;53/0;46/0;34/0;36/0;62/1;52/0;59/1;51/1;71/1;51/1;64/1;49/1;85/2;59/2;82/1;
changeGroupFromORtoALT;48/0;25/1;25/0;25/0;24/0;25/0;81/0;24/0;24/0;23/0;24/0;24/0;25/0;25/0;23/0;23/0;74/0;25/0;24/0;27/0;24/0;32/0;25/0;28/0;30/0;91/0;26/0;24/0;23/0;23/0;88/0;25/0;88/0;
createExcludeConstraint_IN_FeatureModel;41/0;41/0;42/0;24/0;24/0;24/0;25/0;26/0;25/0;25/0;26/0;28/0;24/0;25/0;26/0;25/0;27/0;25/0;29/0;36/0;42/0;38/0;35/0;32/0;32/0;32/0;35/1;28/0;28/0;28/0;27/0;28/0;27/0;
