RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];48/4;46/0;36/0;17/0;16/0;15/0;17/0;16/0;25/1;30/0;21/0;25/1;20/1;21/1;19/0;22/0;21/1;20/0;21/0;23/0;26/0;22/0;21/0;19/0;27/0;23/0;54/0;35/0;21/0;21/0;21/1;23/0;21/0;19/0;22/1;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];39/0;19/0;19/0;19/1;19/0;19/0;21/0;20/0;19/0;19/0;19/0;19/0;23/0;22/0;18/0;20/0;18/1;18/1;19/0;19/0;20/0;19/0;18/0;26/0;19/0;17/0;19/0;20/0;19/0;18/0;19/0;20/0;19/0;20/0;16/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];27/0;15/0;15/0;17/0;15/0;18/0;17/0;16/0;16/0;15/0;16/0;16/0;16/0;16/0;15/0;14/1;17/0;15/0;15/0;18/1;15/0;16/0;15/0;16/0;14/1;17/0;20/0;16/0;17/0;16/0;16/0;16/0;16/0;16/0;17/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];168/5;51/1;69/2;56/1;21/0;46/2;53/1;63/2;32/0;33/1;55/3;55/1;56/1;26/1;46/0;45/1;58/1;26/0;56/1;46/1;62/2;59/1;37/0;19/0;54/2;62/1;94/3;55/2;87/2;65/2;66/2;102/3;133/1;110/3;124/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];43/0;26/0;26/0;24/0;25/0;37/0;34/0;27/0;28/0;24/0;26/0;27/0;24/0;24/0;25/0;24/0;23/0;23/0;24/0;24/0;23/0;24/0;24/0;22/1;23/0;24/0;24/0;24/0;23/1;24/0;30/0;26/0;24/0;23/0;23/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];56/4;52/1;40/1;33/0;24/0;32/1;27/0;40/0;25/0;23/1;45/0;28/0;25/0;21/1;28/0;26/0;38/1;26/0;32/0;28/0;30/0;24/0;24/0;26/0;39/1;34/1;40/0;31/1;51/1;43/1;51/1;52/1;43/0;47/1;60/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];62/1;31/1;27/0;28/1;25/0;26/1;66/1;39/0;27/0;25/1;26/1;30/0;26/0;28/1;27/0;28/0;27/0;25/0;24/0;27/0;26/0;35/1;26/1;29/0;26/0;40/0;29/0;40/1;29/0;22/0;30/1;20/0;21/0;20/0;32/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];40/0;27/0;22/1;21/0;21/0;20/0;21/0;20/0;23/0;23/0;23/0;20/0;19/1;21/0;26/0;20/0;21/0;19/0;20/0;21/0;22/0;21/0;29/0;24/0;22/0;24/0;23/0;25/1;29/0;28/0;26/1;27/0;24/0;22/0;25/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];94/0;23/1;22/0;24/0;23/0;24/0;69/0;22/0;81/0;25/0;24/1;23/0;23/0;22/0;22/0;23/0;23/0;21/0;22/0;23/0;22/0;23/0;22/0;22/0;21/0;22/0;22/0;22/0;24/1;28/0;21/0;21/0;24/0;22/0;21/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];36/0;21/0;21/0;21/0;21/0;21/0;21/0;22/0;21/0;20/0;19/1;20/0;21/0;21/0;22/0;20/0;20/0;20/0;20/0;19/0;21/0;27/0;21/1;19/0;20/0;20/0;21/0;21/0;22/0;22/0;25/0;22/0;23/0;22/0;21/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];32/0;20/0;19/0;20/0;19/0;20/0;21/0;20/0;20/1;20/0;21/0;21/0;22/0;21/0;25/0;21/0;21/0;20/0;20/0;21/0;21/0;21/0;21/0;20/0;21/0;20/0;20/0;22/0;21/0;21/0;21/0;20/0;21/0;22/0;21/0;
