D-U-CONFLICTS - normalCPs/essentialCPs / conflictAtoms / Candidates / Minimal Reasons;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]FloatTest;[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]moveFeature_FROM_Feature_children_TO_Feature_Feature;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromALTtoOR;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteExcludeConstraint_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteRequireConstraint_IN_FeatureModel;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureConcrete;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureOptional;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createAbstractFeature_IN_Feature;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteAbstractFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromORtoALT;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createExcludeConstraint_IN_FeatureModel;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createRequireConstraint_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureAbstract;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureMandatory;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]mutuallyExchangeMandatoryAndOptional;[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3]ReplaceFeature;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-4;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5]ExtractALTGroup;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6]Refactoring_1-1;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-3;[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-4;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-5;[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-8;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-4;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2]Specialization_3-6;
Refactoring_1-4;4/2/2/2/1;0/0/0/0/0;4/1/2/2/1;1/1/1/1/1;0/0/0/0/0;2/1/1/1/1;8/2/2/2/1;0/0/0/0/0;0/0/0/0/0;4/1/2/2/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;1/1/1/1/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/1/1/1;0/0/0/0/0;0/0/0/0/0;2/1/2/2/1;2/1/1/1/1;4/2/2/2/1;0/0/0/0/0;0/0/2/2/1;1/0/2/2/2;12/1/2/2/2;2/0/2/2/2;0/0/1/1/1;0/0/2/2/1;12/2/3/3/1;
Refactoring_1-5;4/2/2/2/1;0/0/0/0/0;4/1/2/2/1;1/1/1/1/1;0/0/0/0/0;2/1/1/1/1;4/2/2/2/1;0/0/0/0/0;0/0/0/0/0;4/1/2/2/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;1/1/1/1/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/1/1/1;0/0/0/0/0;0/0/0/0/0;2/1/2/2/1;1/1/1/1/1;4/2/2/2/1;0/0/0/0/0;0/0/2/2/1;2/1/2/2/2;6/1/2/2/2;2/0/2/2/2;0/0/1/1/1;0/0/2/2/1;6/2/3/3/1;
Refactoring_1-8;4/2/2/2/1;0/0/0/0/0;4/1/2/2/1;0/0/1/1/1;0/0/0/0/0;2/1/1/1/1;4/2/2/2/1;0/0/0/0/0;0/0/0/0/0;4/1/2/2/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;1/1/1/1/1;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;1/1/1/1/1;0/0/0/0/0;0/0/0/0/0;2/1/2/2/1;1/1/1/1/1;0/0/2/2/1;0/0/0/0/0;8/2/2/2/1;0/0/2/2/2;4/1/2/2/2;4/1/2/2/2;4/1/1/1/1;4/2/2/2/1;9/3/3/3/1;
Specialization_3-4;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;
Specialization_3-6;0/0/2/2/2;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;3/0/2/2/2;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;1/0/2/2/2;0/0/0/0/0;8/2/2/2/1;0/0/0/0/0;0/0/0/0/0;1/0/2/2/2;0/0/0/0/0;0/0/0/0/0;0/0/0/0/0;21/0/4/4/2;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
