RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];48/50/7;50/37/0;19/18/0;18/19/0;21/19/0;17/20/0;18/22/0;20/24/0;18/19/0;21/19/0;26/22/1;27/25/0;28/21/1;19/18/0;19/20/0;19/20/0;18/18/0;18/18/0;18/20/0;19/18/0;20/19/0;18/21/0;20/19/0;20/19/0;18/18/0;19/21/0;21/22/0;21/19/0;21/28/0;22/21/1;22/22/1;21/21/1;24/23/1;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];45/23/0;21/19/0;23/22/0;23/18/0;20/21/0;24/26/0;21/22/0;21/21/0;22/29/0;22/23/0;22/22/0;21/22/0;22/20/0;21/21/0;21/21/0;22/22/0;20/21/0;20/21/0;22/25/0;23/21/0;20/21/0;19/21/0;21/21/0;21/21/0;21/22/0;24/23/1;24/23/0;26/26/0;33/24/0;21/21/0;22/19/0;20/18/0;17/18/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];31/19/0;17/19/0;18/18/0;19/18/0;18/18/0;18/17/0;18/18/0;20/18/0;18/18/0;21/18/1;18/18/1;17/18/0;19/19/0;20/20/0;19/18/0;20/18/1;17/20/0;18/19/0;20/17/0;19/20/0;18/19/0;18/17/0;21/19/0;21/19/0;20/18/1;20/20/0;20/22/1;21/20/0;21/19/0;18/19/0;20/19/1;20/18/1;19/20/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];302/169/7;79/43/0;226/174/3;134/82/1;24/24/0;181/131/2;196/159/3;37/27/0;66/39/0;144/113/2;101/54/1;103/46/2;63/36/1;64/38/0;64/34/0;85/70/1;34/29/0;93/50/0;99/42/0;75/50/1;53/28/1;56/32/0;105/94/2;89/64/0;114/82/1;103/49/1;152/107/1;128/87/2;163/125/2;153/106/2;146/101/1;119/97/1;225/194/4;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];66/39/0;33/31/0;38/32/0;34/31/0;32/32/0;32/33/0;34/34/0;31/31/0;31/31/0;30/30/0;32/35/0;34/35/0;34/31/0;35/36/0;34/29/0;32/34/0;33/33/0;32/30/0;30/30/0;31/34/0;29/27/0;26/27/0;25/25/0;26/28/0;26/28/0;33/28/0;28/24/0;24/24/0;25/23/0;24/26/0;25/23/0;24/24/0;23/24/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];99/48/4;68/26/1;90/57/0;71/34/1;27/27/0;65/33/0;90/44/0;30/25/0;25/25/0;83/43/0;33/25/0;25/27/0;25/30/1;26/26/0;25/24/0;60/41/0;28/26/0;25/25/0;25/24/0;59/34/0;26/25/0;28/26/0;78/40/0;79/54/1;109/44/0;32/40/0;117/66/1;121/79/1;121/63/1;130/71/1;95/41/0;97/55/1;252/69/0;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];69/43/0;30/28/0;29/30/0;31/30/0;27/28/0;28/27/0;27/28/0;28/26/0;27/29/0;31/28/0;26/27/0;27/28/0;39/32/0;34/32/0;28/30/0;28/31/0;28/31/0;29/30/0;28/26/0;26/25/0;26/26/0;29/25/0;26/27/0;28/28/0;36/28/0;29/28/0;28/29/0;28/28/0;29/28/0;26/25/0;25/25/1;26/25/0;26/27/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];44/28/0;26/26/0;24/25/0;25/28/0;29/26/0;27/26/0;28/28/0;25/28/0;25/24/0;26/25/0;26/25/0;27/26/0;26/24/0;26/25/0;27/25/0;25/25/0;25/24/0;26/33/0;36/31/0;28/26/0;33/27/0;27/28/0;29/25/0;27/26/1;26/27/0;25/24/0;26/31/0;26/25/0;25/25/0;26/31/0;37/27/0;27/37/1;30/32/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];54/32/0;30/29/0;30/31/0;28/30/0;28/29/0;34/32/0;30/30/0;28/30/0;33/30/0;31/29/1;31/31/0;32/30/0;32/30/0;28/29/0;30/29/0;29/29/0;28/28/0;33/29/0;30/30/1;34/36/0;36/34/0;30/29/0;30/28/0;28/27/1;28/29/0;29/28/0;29/28/0;30/30/0;36/29/0;33/31/0;30/28/0;34/29/0;29/29/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];44/30/0;29/28/0;29/31/0;30/29/0;30/29/0;28/27/0;29/32/0;27/28/0;26/27/0;29/32/0;29/34/0;30/31/0;29/27/0;26/27/0;26/28/0;28/28/0;29/28/0;28/26/0;32/27/0;28/29/0;28/28/0;30/31/0;28/30/0;38/32/0;31/33/0;32/32/0;32/32/0;32/31/0;31/33/0;32/31/0;33/34/0;32/37/0;34/33/0;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];56/36/0;36/44/0;34/34/0;34/32/1;33/34/0;33/39/0;38/36/0;31/32/0;33/37/1;37/34/0;872/747/2;45/46/0;37/38/1;32/30/0;31/30/1;31/30/0;30/29/0;28/29/0;29/30/0;29/29/0;30/28/0;29/30/0;31/30/1;29/30/0;28/31/0;922/926/3;78/59/0;49/45/1;35/34/1;35/35/0;35/35/0;35/36/0;33/37/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];61/34/0;34/38/0;35/35/1;35/36/0;41/39/0;47/41/0;35/37/0;96/52/0;45/71/0;36/35/0;39/41/0;1160/766/2;64/45/0;37/40/0;31/31/0;30/32/0;35/34/0;33/36/0;33/33/1;33/36/1;34/38/0;35/33/0;30/33/0;33/31/0;30/40/0;40/38/0;1287/1087/2;80/64/0;45/49/1;35/33/0;31/38/0;38/36/0;33/32/1;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];76/48/0;46/31/0;30/33/1;33/43/0;32/33/0;34/37/0;33/34/0;31/33/0;36/36/0;36/39/0;35/35/0;52/38/0;36/39/0;37/37/0;37/38/0;39/44/0;39/39/0;37/38/0;44/42/0;46/38/0;42/41/0;37/41/0;38/36/0;37/42/0;35/35/0;35/46/0;34/35/0;34/34/0;40/35/0;35/35/0;34/37/0;34/37/0;41/38/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];57/36/0;34/34/1;35/36/0;35/37/0;35/33/0;33/41/0;35/34/0;33/33/0;34/36/0;33/34/0;34/31/0;32/34/0;34/33/0;46/37/0;43/38/0;37/40/0;41/39/0;47/33/0;33/35/0;37/36/0;36/38/0;40/39/0;44/41/0;36/35/0;36/35/1;35/35/0;35/38/0;37/42/1;40/34/0;34/31/0;32/32/0;32/32/0;32/34/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];64/62/0;76/36/0;36/34/0;37/36/0;45/36/0;42/40/0;39/40/0;37/43/1;36/38/0;35/37/0;40/38/0;39/38/0;35/42/0;38/37/0;36/37/0;39/35/0;36/36/0;36/36/0;39/40/0;52/44/0;36/34/1;36/34/0;41/36/0;36/36/0;34/39/0;32/33/0;36/37/0;43/39/0;37/34/0;36/38/0;35/36/0;37/34/0;41/36/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];170/100/1;80/44/1;128/103/1;94/54/0;36/38/0;119/81/0;133/91/1;39/34/0;74/41/0;120/84/1;112/50/1;113/51/1;79/41/0;74/39/0;76/40/0;98/56/1;36/35/0;117/54/0;120/54/1;106/62/1;81/42/0;84/42/0;143/93/1;108/69/0;134/80/2;117/51/1;148/117/2;130/85/1;175/104/1;140/102/0;159/114/1;165/85/1;200/146/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/38/0;34/43/0;53/36/0;35/34/0;33/34/0;41/37/0;37/37/0;34/37/0;34/39/0;37/38/0;36/38/0;36/37/0;45/39/0;37/38/0;37/37/0;37/37/1;38/41/0;37/34/0;41/40/0;37/42/0;37/36/0;36/36/0;39/41/0;33/35/0;34/37/0;36/37/0;38/36/0;35/35/0;36/35/0;36/34/0;37/35/0;34/35/0;34/41/0;
createExcludeConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];68/68/0;72/35/0;33/34/0;35/34/0;35/34/0;34/34/0;39/37/1;42/34/0;34/39/0;35/33/0;36/39/0;35/34/0;34/35/0;34/32/0;34/34/0;34/34/0;39/34/0;35/35/0;35/41/0;37/34/0;45/39/0;36/39/0;39/39/0;37/37/0;38/39/0;40/42/0;39/40/0;41/47/0;41/42/0;40/43/0;41/50/0;54/43/0;50/51/0;
createRequireConstraint_IN_FeatureModel[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];91/83/0;86/38/0;41/40/0;40/44/0;38/42/0;40/40/0;42/39/0;47/48/0;42/39/0;38/46/1;36/38/0;38/37/0;38/37/0;37/36/0;35/36/0;33/34/0;37/37/0;39/37/0;41/39/0;42/43/0;42/41/0;41/38/0;38/36/0;36/37/0;37/39/0;36/34/0;46/34/0;43/38/0;41/41/0;39/39/0;40/46/0;47/40/0;41/41/0;
