RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;PushDownGroup;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];324/69/8;103/21/1;60/22/0;59/23/1;55/23/0;45/21/1;43/24/0;52/28/0;49/28/0;56/26/0;56/26/0;52/21/1;55/24/0;41/21/0;40/20/0;38/22/0;40/19/0;41/20/0;53/23/0;45/21/0;41/21/0;47/24/0;38/21/0;37/18/0;34/18/0;41/20/0;33/19/0;37/20/0;35/18/0;30/17/1;31/18/0;33/18/1;31/19/0;35/19/0;41/19/0;36/19/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];54/17/1;30/19/0;31/17/0;34/17/0;31/16/0;32/17/0;33/16/1;33/18/0;31/16/0;41/17/0;31/17/0;34/18/0;32/16/0;42/17/0;35/17/0;30/17/0;33/17/0;32/17/0;32/18/1;38/17/1;33/17/0;36/20/0;33/18/0;34/18/0;33/20/0;38/20/1;35/20/1;39/27/0;44/20/0;34/20/0;36/19/0;36/23/0;39/23/0;37/23/0;33/20/0;36/21/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];53/22/0;40/23/0;40/25/0;38/22/0;39/22/0;39/23/0;39/23/0;38/22/0;40/20/0;37/22/0;37/21/1;40/23/1;68/23/0;38/24/0;43/21/0;43/22/0;40/27/0;40/25/0;40/25/0;45/22/1;38/23/0;41/23/0;36/23/0;36/22/0;39/21/0;38/22/0;39/22/0;38/21/0;37/26/0;43/21/0;38/21/0;36/21/0;36/22/0;38/21/0;37/22/0;36/24/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];358/197/8;97/43/0;230/180/3;164/104/1;53/28/0;196/127/2;162/57/1;189/130/2;59/29/0;77/35/0;161/127/1;107/48/1;95/40/1;66/33/0;71/33/0;77/32/0;89/58/1;38/25/0;99/46/0;109/52/1;101/58/1;158/51/1;77/39/1;83/39/1;166/107/2;118/65/1;144/96/2;119/55/1;169/128/2;149/105/1;206/127/1;168/113/1;157/94/0;330/256/3;140/88/1;209/168/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];61/30/0;39/28/0;40/29/0;41/26/0;38/27/0;38/27/0;38/29/0;39/31/0;44/30/0;40/28/0;46/40/0;51/32/0;46/34/0;48/34/0;47/31/0;47/34/0;47/32/0;45/33/0;44/36/0;49/33/0;47/34/0;49/36/0;51/32/0;44/31/0;42/31/0;42/31/0;44/31/0;44/33/0;46/32/0;44/31/0;42/32/0;44/31/0;42/32/0;51/33/0;43/31/0;40/31/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];129/51/3;69/32/1;111/49/1;81/41/0;45/27/0;97/37/0;45/35/0;103/51/1;43/29/0;45/26/0;99/41/1;45/27/1;40/33/1;40/25/1;36/27/1;41/29/0;75/37/0;45/28/0;39/25/0;39/29/1;82/43/0;40/27/0;42/28/0;41/30/0;108/47/0;89/39/1;106/48/1;42/31/0;121/53/0;111/51/0;137/57/1;125/56/0;96/46/1;629/130/1;120/51/0;226/72/0;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];151/82/0;47/27/0;37/26/0;46/26/0;37/27/0;38/26/0;141/124/1;116/68/1;45/32/0;44/32/0;42/27/1;42/31/1;42/31/0;46/32/1;46/31/0;41/31/0;45/32/0;47/30/0;46/28/0;44/37/0;48/30/0;189/135/0;60/40/1;48/34/0;51/38/0;126/77/1;55/42/0;190/118/1;56/42/0;50/35/0;114/69/1;50/36/1;47/36/0;391/188/3;68/43/1;204/127/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];92/46/0;56/35/1;50/38/0;48/37/0;47/35/0;49/36/0;49/38/0;48/35/0;48/36/0;47/33/0;50/38/0;55/36/0;48/34/0;51/40/0;55/34/0;48/36/0;47/33/0;44/35/0;48/40/0;55/37/0;52/42/0;54/38/0;55/36/0;43/37/0;52/37/0;51/37/0;51/37/0;50/38/0;51/42/0;52/39/0;51/43/0;53/44/0;52/39/0;49/38/0;52/36/0;50/37/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];68/39/0;45/32/0;50/36/0;50/42/0;63/37/0;52/42/0;53/39/0;56/37/0;47/35/0;50/36/0;55/39/0;55/39/0;56/38/0;48/45/0;46/40/0;49/35/0;47/34/0;47/36/0;46/35/0;46/34/0;43/33/0;44/32/0;44/35/0;44/32/0;43/42/1;49/35/0;44/33/0;46/33/0;45/34/1;45/34/0;43/33/0;43/33/0;44/35/0;46/34/0;44/32/0;45/38/1;
