RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];348/9;113/1;85/0;89/3;106/1;73/1;62/1;53/0;45/0;42/1;45/0;49/0;53/0;46/1;41/1;52/1;40/0;44/0;46/1;43/0;43/0;42/0;40/1;45/1;41/1;38/1;40/0;45/1;35/1;33/1;36/1;34/1;34/0;37/0;33/0;37/1;40/0;44/0;40/0;37/0;36/1;39/1;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];62/0;37/0;36/1;37/0;34/0;37/0;36/0;32/0;34/1;33/0;36/0;44/1;47/1;42/0;46/0;41/0;36/1;32/0;33/1;32/0;32/1;33/0;48/0;32/1;34/1;30/1;35/0;61/0;58/0;44/1;43/1;42/0;34/0;37/0;36/1;35/1;32/0;34/0;32/0;33/0;35/0;39/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];45/0;33/1;36/0;35/0;34/0;35/1;35/0;37/0;34/1;36/1;35/0;38/0;36/0;37/0;33/1;36/1;37/1;37/0;45/1;40/1;38/0;41/0;44/0;38/0;38/0;37/2;38/0;39/1;40/0;39/0;40/0;39/0;41/0;44/0;41/0;43/0;40/0;39/1;38/0;39/0;38/0;42/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];351/7;78/1;198/6;109/3;49/0;151/2;87/2;190/2;51/1;62/1;169/3;80/2;71/1;58/1;58/0;50/1;80/1;42/0;59/1;61/0;85/2;76/1;56/0;66/1;132/2;55/0;49/0;93/2;131/1;60/0;68/2;153/1;128/2;146/3;145/3;138/3;137/2;327/3;220/3;206/3;125/2;193/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];71/0;37/0;38/0;50/1;52/1;44/1;43/0;43/0;38/0;40/1;42/1;47/0;52/0;50/0;53/1;48/1;57/1;47/0;53/1;54/0;43/0;59/2;72/0;73/0;59/1;52/1;46/1;45/0;42/0;43/1;47/1;44/0;42/0;42/0;41/0;42/1;45/1;43/0;51/0;48/0;47/0;44/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];83/4;77/1;60/1;54/0;43/1;57/1;43/1;62/1;47/1;41/1;57/1;43/1;47/1;49/1;50/4;56/1;49/1;40/1;45/0;40/1;53/2;43/0;40/1;37/1;53/1;39/0;39/0;48/1;60/1;43/0;43/1;72/1;59/1;66/0;69/1;60/2;53/0;92/1;80/1;75/2;74/1;79/0;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];100/1;70/1;44/1;45/1;39/0;40/1;116/2;73/1;38/1;34/1;39/0;40/0;39/1;37/0;37/1;38/0;40/0;39/1;39/0;41/0;40/0;127/1;54/1;39/1;38/0;46/1;37/0;72/1;41/0;39/1;116/1;44/1;39/0;97/1;65/0;91/1;53/1;201/4;60/1;46/1;43/0;139/2;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];70/0;51/0;47/0;48/0;48/0;49/0;48/1;46/0;45/1;43/0;46/0;47/0;48/1;45/0;45/1;47/0;47/1;44/0;46/0;45/1;40/0;46/0;44/0;45/0;45/0;45/0;45/1;44/0;45/0;43/0;43/0;44/0;43/0;43/1;44/0;44/0;45/1;47/1;46/0;46/0;44/0;49/1;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];56/0;42/1;43/1;45/0;47/0;42/0;41/0;44/1;50/0;40/0;41/0;51/1;42/1;41/0;40/0;40/1;42/1;39/1;40/0;41/1;38/1;42/0;40/1;39/1;41/1;39/0;40/0;41/0;43/0;41/0;42/0;45/0;43/0;42/0;42/0;41/0;40/0;43/0;42/0;43/0;42/1;41/1;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];56/0;47/1;43/0;43/0;43/0;50/1;47/0;46/0;44/0;42/0;45/1;44/0;45/0;45/1;44/0;46/1;43/0;41/0;47/0;45/1;47/0;46/0;46/0;43/0;44/0;44/1;44/1;43/0;43/0;44/0;45/1;56/0;50/0;49/0;49/0;49/1;48/1;50/0;53/0;51/0;52/0;58/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];63/0;53/1;50/0;49/0;55/0;52/0;52/0;51/0;56/0;53/0;56/0;54/1;54/0;61/0;53/1;50/1;50/0;51/0;50/1;49/0;50/0;51/1;48/1;54/0;48/1;49/1;47/0;47/0;50/1;49/0;52/0;49/0;48/0;49/1;47/0;46/1;47/0;52/0;50/0;48/0;53/0;48/1;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];58/0;43/1;44/0;43/1;41/0;44/0;49/0;45/0;46/1;37/0;41/0;882/4;50/1;52/0;51/0;44/0;43/0;43/0;46/0;48/0;41/1;48/0;50/0;41/1;43/0;42/0;42/0;43/1;44/0;44/1;1047/2;72/1;82/0;61/0;51/1;48/0;48/1;48/0;47/1;49/0;52/0;51/1;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];70/0;59/0;46/1;44/1;45/0;47/0;56/1;60/0;46/0;47/1;43/1;47/1;850/2;87/0;53/0;50/0;45/0;44/0;50/1;48/0;45/0;52/1;49/0;42/0;43/0;45/0;47/0;44/0;46/0;42/0;45/0;1114/3;101/0;57/1;56/0;42/1;42/0;46/1;47/0;46/0;41/1;46/0;
