RUNTIME - essentialCPs[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;Generalization_2-4;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];325/;102/;80/;55/;51/;49/;53/;48/;44/;38/;43/;48/;45/;48/;40/;53/;46/;44/;45/;49/;37/;43/;39/;48/;49/;48/;44/;44/;38/;34/;37/;37/;35/;35/;35/;39/;35/;34/;34/;44/;42/;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];69/;44/;47/;40/;43/;48/;45/;48/;44/;33/;36/;39/;38/;33/;34/;33/;33/;31/;36/;36/;33/;37/;49/;35/;37/;38/;38/;40/;38/;31/;36/;33/;34/;34/;37/;34/;34/;39/;34/;34/;37/;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];53/;34/;38/;37/;36/;36/;39/;36/;36/;35/;35/;38/;37/;35/;35/;41/;40/;39/;36/;44/;45/;43/;39/;37/;43/;37/;41/;44/;40/;42/;41/;42/;43/;42/;41/;44/;55/;51/;44/;44/;43/;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];327/;80/;193/;120/;55/;163/;97/;255/;45/;51/;230/;119/;113/;72/;86/;83/;111/;53/;100/;89/;83/;71/;48/;51/;123/;67/;50/;91/;117/;53/;68/;144/;117/;135/;137/;119/;122/;171/;175/;115/;176/;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];66/;47/;44/;49/;38/;38/;42/;45/;41/;37/;35/;40/;38/;39/;39/;42/;40/;41/;42/;44/;40/;39/;41/;45/;42/;45/;42/;44/;41/;40/;49/;46/;38/;38/;36/;37/;37/;37/;37/;36/;41/;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];80/;36/;62/;51/;37/;51/;42/;58/;43/;35/;63/;48/;45/;38/;42/;36/;42/;37/;37/;35/;43/;38/;38/;36/;49/;38/;34/;50/;51/;38/;38/;59/;52/;66/;56/;58/;50/;70/;82/;58/;71/;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];115/;70/;45/;44/;39/;40/;124/;106/;53/;40/;51/;46/;51/;46/;45/;45/;44/;43/;45/;47/;45/;134/;56/;51/;51/;66/;55/;77/;54/;46/;123/;55/;47/;86/;42/;71/;43/;41/;42/;38/;122/;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];74/;46/;40/;40/;39/;37/;41/;39/;42/;36/;38/;42/;39/;38/;39/;41/;44/;43/;43/;40/;40/;46/;37/;39/;40/;42/;39/;41/;41/;37/;38/;40/;41/;38/;37/;40/;39/;37/;38/;37/;41/;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];53/;36/;37/;37/;36/;38/;37/;37/;36/;35/;37/;38/;36/;37/;36/;38/;39/;37/;37/;40/;48/;43/;42/;40/;39/;40/;41/;40/;40/;40/;40/;42/;38/;42/;38/;49/;40/;41/;40/;41/;40/;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];66/;43/;42/;45/;43/;42/;42/;43/;42/;40/;42/;46/;43/;45/;51/;46/;50/;40/;42/;41/;37/;41/;44/;41/;42/;43/;44/;42/;41/;42/;41/;41/;42/;40/;43/;41/;41/;40/;40/;42/;41/;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];56/;40/;41/;39/;41/;42/;44/;40/;44/;41/;39/;47/;45/;44/;44/;39/;40/;40/;40/;46/;40/;41/;45/;39/;41/;39/;41/;42/;41/;39/;42/;43/;47/;43/;39/;46/;47/;44/;42/;39/;42/;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];53/;41/;41/;48/;38/;47/;43/;42/;46/;43/;41/;973/;55/;56/;54/;43/;43/;46/;48/;49/;43/;51/;50/;46/;46/;41/;42/;46/;42/;40/;1000/;52/;50/;52/;45/;42/;41/;50/;40/;41/;41/;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];62/;53/;42/;44/;41/;42/;57/;50/;53/;42/;44/;50/;882/;88/;51/;47/;49/;42/;42/;47/;43/;50/;48/;41/;42/;41/;41/;45/;45/;40/;43/;1207/;97/;53/;51/;43/;43/;44/;43/;42/;44/;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];74/;51/;46/;48/;45/;43/;46/;44/;46/;41/;42/;49/;47/;46/;45/;48/;48/;48/;46/;45/;44/;43/;46/;46/;46/;47/;49/;47/;50/;49/;46/;46/;54/;83/;76/;96/;75/;70/;73/;67/;52/;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];82/;51/;49/;60/;61/;66/;53/;61/;51/;52/;53/;46/;45/;43/;41/;41/;45/;45/;43/;44/;46/;47/;43/;50/;50/;47/;46/;43/;42/;50/;54/;44/;45/;49/;49/;53/;46/;66/;59/;49/;45/;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];70/;72/;70/;50/;46/;53/;56/;45/;51/;50/;53/;46/;50/;47/;46/;50/;59/;58/;55/;63/;51/;44/;58/;54/;51/;51/;48/;52/;55/;52/;55/;50/;48/;46/;52/;57/;55/;53/;62/;58/;61/;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];148/;70/;145/;99/;65/;99/;85/;146/;58/;59/;110/;66/;67/;59/;47/;56/;75/;55/;91/;79/;104/;78/;66/;54/;117/;64/;71/;122/;138/;63/;94/;147/;123/;165/;130/;151/;129/;197/;213/;133/;186/;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];79/;49/;69/;59/;50/;57/;56/;56/;71/;61/;53/;62/;63/;82/;66/;61/;61/;56/;56/;55/;62/;78/;88/;87/;71/;58/;57/;61/;48/;47/;53/;53/;48/;50/;49/;51/;48/;52/;49/;48/;47/;
