RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];215/63/10;47/36/0;17/17/1;17/17/0;16/24/0;20/22/1;67/43/3;103/64/1;23/27/2;23/21/1;23/26/1;31/28/0;30/26/0;27/24/0;23/22/1;23/21/0;21/22/1;22/22/0;22/21/0;21/23/0;21/23/1;117/92/1;30/26/0;24/23/1;21/22/0;65/43/3;25/23/0;93/64/2;32/26/0;24/24/0;94/62/2;27/31/1;25/24/0;27/23/0;105/69/3;
setFeatureAbstract[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];51/25/0;22/23/0;24/25/0;85/82/0;24/24/0;22/23/0;27/27/0;25/28/0;23/23/0;23/24/0;22/22/0;23/23/0;23/23/0;24/23/0;23/23/0;23/22/0;23/22/0;25/24/1;23/23/0;23/24/0;76/79/0;27/27/0;56/58/0;17/18/0;17/16/0;16/18/0;18/19/0;18/18/0;18/19/0;19/19/0;18/25/0;20/20/1;19/18/0;18/16/0;17/18/0;
setFeatureMandatory[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];38/26/1;19/21/0;89/101/0;26/23/0;20/21/0;22/21/0;19/20/0;20/20/0;24/22/0;21/22/0;85/90/0;23/23/0;23/21/1;21/21/0;20/21/0;24/25/0;25/21/0;20/20/1;19/21/0;21/21/0;96/78/0;21/22/0;20/20/0;73/68/0;78/76/0;22/22/0;21/21/0;21/20/0;117/112/0;25/22/0;21/23/0;83/81/0;86/83/0;90/104/0;111/136/0;
mutuallyExchangeMandatoryAndOptional[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];41/33/0;23/23/0;559/190/0;366/183/0;36/32/0;29/29/0;31/36/0;32/36/0;29/27/0;26/26/0;548/149/0;31/28/0;28/28/0;28/26/0;107/105/0;27/26/0;26/25/0;26/26/0;26/25/0;26/26/0;279/175/1;35/29/0;19/22/0;89/92/0;576/156/0;36/23/0;513/150/0;35/22/1;553/163/0;523/174/0;595/184/0;615/178/0;519/174/0;521/154/0;831/197/0;
ReplaceFeature[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3];169/107/3;74/39/0;97/61/3;65/39/1;24/23/0;56/45/1;169/72/2;134/95/4;37/28/0;62/37/0;98/57/2;98/47/1;96/48/1;77/37/1;72/38/1;72/40/0;86/55/1;34/32/0;102/43/0;88/43/1;82/45/1;163/76/1;75/35/0;58/36/1;83/63/1;117/92/1;95/62/2;121/60/1;104/72/1;83/44/2;98/73/1;98/61/1;86/47/1;83/61/1;196/157/3;
Generalization_2-4[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];75/35/0;34/33/0;620/181/0;347/177/0;38/34/0;24/26/0;27/29/0;25/25/0;25/25/0;24/25/0;548/146/0;31/25/1;25/24/0;25/23/0;113/122/0;25/26/0;25/25/0;24/25/0;31/26/0;24/24/0;24/22/0;25/26/0;24/24/0;25/23/0;566/197/1;39/28/0;725/206/0;43/31/0;33/33/0;619/174/0;642/182/0;674/189/0;45/34/0;27/32/1;26/26/0;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;
