RUNTIME - normalCPs/essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;ReplaceFeature;Generalization_2-4;ExtractALTGroup;Refactoring_1-1;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-8;Specialization_3-4;Specialization_3-6;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];66/49/6;56/56/0;23/21/0;22/23/0;24/25/0;24/28/0;27/25/0;24/21/0;23/29/0;25/23/0;28/23/1;22/25/0;23/21/0;22/21/0;23/21/0;19/20/1;21/21/1;20/22/0;19/21/0;19/20/0;19/25/0;19/19/0;22/18/1;20/19/0;20/21/0;21/20/0;21/19/0;20/19/0;22/19/1;25/20/0;22/18/1;19/19/0;20/20/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];43/19/0;16/19/0;18/19/0;21/21/0;17/18/0;28/26/0;22/26/1;22/23/0;20/28/0;25/19/0;19/22/0;21/22/0;20/20/0;20/22/0;22/21/0;23/20/0;22/24/0;26/17/1;21/23/0;19/21/1;21/19/0;22/22/0;23/21/0;22/21/0;20/23/0;34/25/0;28/34/0;37/26/0;21/28/0;24/23/0;30/28/0;25/24/0;23/27/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];41/25/0;21/21/0;21/21/1;27/23/0;25/26/0;24/22/0;23/22/0;24/27/0;22/21/1;22/22/0;28/22/1;23/23/0;22/20/0;20/24/1;20/20/0;21/22/0;21/21/0;25/20/0;22/21/0;22/21/1;23/27/0;21/19/0;27/23/0;23/22/0;29/24/0;24/23/0;21/22/0;21/22/0;21/22/0;24/22/0;26/21/0;21/26/1;24/26/0;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];345/139/8;79/47/1;133/109/3;123/107/2;30/30/0;154/107/1;192/154/2;40/39/0;89/51/1;161/99/2;133/65/2;134/64/2;69/40/0;71/42/0;61/39/0;96/77/1;30/23/0;162/67/1;160/70/1;118/81/1;85/48/0;75/53/1;150/95/2;118/94/1;142/105/2;160/79/1;182/155/2;125/95/1;161/110/2;140/105/2;115/91/1;156/118/2;234/177/4;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];50/33/0;34/30/0;31/30/1;27/26/0;27/26/0;30/29/0;31/29/0;27/27/0;26/24/1;25/24/0;25/26/0;26/24/0;27/24/0;26/26/0;27/25/1;25/25/0;28/24/1;26/31/0;32/32/0;31/27/0;27/29/0;27/29/0;33/34/0;29/28/0;28/28/0;28/30/0;30/29/0;27/28/0;32/30/1;35/28/0;26/27/0;27/27/0;28/28/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];143/71/4;64/28/0;128/79/0;80/42/0;29/29/0;83/43/1;130/66/1;42/29/0;26/27/0;121/59/0;33/31/0;30/29/1;22/22/0;22/23/0;22/21/0;63/40/0;31/30/1;28/27/0;22/22/0;61/38/1;30/31/1;31/29/0;92/49/0;72/40/1;109/47/0;31/27/0;127/78/0;124/54/0;133/60/0;119/57/0;97/44/1;106/59/1;311/91/0;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];72/46/0;33/33/0;35/34/0;35/33/0;34/41/0;35/35/0;36/34/0;33/32/1;34/33/0;33/32/0;32/33/0;32/34/0;33/31/1;32/31/0;32/33/0;36/30/0;31/32/0;30/32/0;32/32/0;32/32/0;32/30/0;30/30/0;32/30/0;30/32/0;32/31/0;33/33/0;33/33/0;32/30/0;32/32/0;30/30/0;30/31/0;31/30/0;33/30/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];40/29/0;29/30/0;29/31/0;31/30/1;33/31/0;29/31/0;30/31/0;29/28/0;30/30/1;29/31/0;33/31/1;31/34/0;31/30/0;33/37/0;30/32/0;31/30/0;36/35/0;39/34/0;33/33/0;32/33/0;32/37/0;33/34/1;34/36/0;40/37/0;37/37/0;36/40/0;37/39/0;36/36/0;34/42/0;34/39/0;37/34/0;35/36/0;41/36/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];48/34/0;32/35/0;33/34/0;33/33/0;34/29/0;37/30/0;32/26/0;28/30/0;33/30/0;29/26/0;27/25/0;28/28/0;26/26/0;27/26/0;25/25/0;26/26/0;26/26/0;25/25/0;27/28/0;30/25/0;28/24/0;25/25/0;25/24/0;23/24/0;25/24/0;25/26/0;25/24/1;28/26/0;27/27/0;26/26/0;28/27/0;27/27/1;27/26/0;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];45/26/0;26/27/0;25/26/0;27/27/0;25/31/0;27/26/1;27/29/0;36/27/0;26/27/0;27/27/0;43/29/0;27/26/0;28/28/0;26/27/0;38/28/0;28/31/0;30/31/1;28/30/0;29/29/0;29/28/1;28/30/0;26/30/0;27/27/0;28/29/0;29/29/0;28/36/0;39/30/0;30/27/0;28/27/1;27/26/1;28/26/0;29/27/0;31/33/0;
deleteExcludeConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];47/28/1;28/30/0;29/34/0;30/29/1;30/28/0;28/29/0;29/27/0;28/28/0;29/29/0;29/31/0;1078/984/5;58/47/0;37/42/0;28/35/0;39/31/1;33/33/0;29/31/0;30/33/0;31/32/0;31/36/0;32/30/0;28/32/0;39/35/0;35/34/0;37/35/0;1173/1048/2;54/37/0;33/35/0;28/27/0;28/26/1;27/29/0;31/29/0;30/28/0;
deleteRequireConstraint_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5];48/29/0;28/28/1;28/28/0;27/28/0;29/30/0;27/31/0;31/29/0;28/30/0;30/30/0;33/35/0;36/33/0;1213/921/2;50/34/0;33/34/0;25/28/0;27/29/0;27/30/0;32/26/0;28/36/0;33/30/0;29/27/0;28/27/0;28/28/0;27/28/0;26/27/0;26/27/0;1128/1098/3;67/38/0;40/39/0;30/30/0;29/37/0;33/33/0;32/33/0;
setFeatureConcrete[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];65/44/0;45/34/0;33/34/0;31/31/0;31/36/0;36/34/0;33/34/0;35/35/0;35/32/0;36/35/0;36/34/0;49/37/0;40/37/0;36/39/0;37/39/0;32/32/0;33/36/0;33/32/0;31/30/0;31/33/0;31/42/0;32/41/0;44/34/1;40/38/0;36/35/0;31/33/0;35/40/0;43/45/0;53/52/1;42/41/1;39/40/0;33/30/0;42/34/0;
setFeatureOptional[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];54/32/0;30/33/0;29/31/0;32/30/0;27/28/1;29/30/0;30/29/0;27/29/0;28/28/0;29/29/0;38/29/0;28/31/1;30/30/0;28/28/0;28/28/0;28/28/0;28/28/0;27/28/0;30/29/0;28/28/1;28/31/0;35/34/0;35/30/0;31/30/0;39/36/0;36/35/1;40/36/0;35/37/0;38/36/0;36/35/1;40/45/0;46/47/0;46/40/0;
createAbstractFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];61/56/0;56/40/0;37/45/0;36/42/0;41/45/0;44/35/0;35/38/1;40/34/0;34/33/0;32/33/0;31/33/0;35/35/0;39/32/1;33/40/0;40/41/0;37/37/0;34/32/0;32/34/0;31/31/0;36/31/0;33/38/1;30/33/0;31/42/0;37/33/0;36/37/0;35/38/0;43/44/0;38/36/0;40/43/0;41/35/0;39/35/0;42/42/0;39/43/0;
deleteAbstractFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];145/84/1;94/51/1;127/84/2;134/75/1;37/34/0;115/73/1;134/93/1;41/35/0;82/51/1;124/77/1;135/69/1;133/62/1;71/39/0;69/47/0;75/39/0;86/59/1;31/29/0;109/53/1;115/56/1;94/69/1;76/39/0;68/38/0;103/81/1;104/64/1;109/79/1;149/67/1;143/123/0;122/92/2;172/105/1;153/104/2;148/98/1;162/104/2;230/158/1;
changeGroupFromORtoALT[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];67/37/0;34/35/0;37/40/0;42/35/0;42/37/0;35/42/1;49/34/0;33/36/0;39/38/0;34/44/0;35/35/0;36/36/0;45/34/0;33/32/1;37/36/0;37/37/0;38/35/0;32/29/0;30/30/0;33/30/0;29/30/0;28/28/0;35/35/0;31/30/0;31/32/0;38/33/0;36/32/0;36/32/0;36/32/0;29/35/0;29/30/0;27/29/0;29/34/0;
