D-U-CONFLICTS - essentialCPs / conflictAtoms / Candidates / Minimal Reasons;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]FloatTest;[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]moveFeature_FROM_Feature_children_TO_Feature_Feature;[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2]removeFromGroup_features_Feature;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0]addToGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromALTtoOR;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createConcreteFeature_IN_Feature;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]createGroup_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteExcludeConstraint_IN_FeatureModel;[#LhsNode:4 ,#LhsEdges:5 ,#deleteNodes:1 ,#deleteEdges:5]deleteRequireConstraint_IN_FeatureModel;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureConcrete;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureOptional;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createAbstractFeature_IN_Feature;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteAbstractFeature_IN_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]changeGroupFromORtoALT;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createExcludeConstraint_IN_FeatureModel;[#LhsNode:3 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]createRequireConstraint_IN_FeatureModel;[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1]deleteConcreteFeature_IN_Feature;[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2]removeFromGroup_features_Feature;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureAbstract;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]setFeatureMandatory;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]mutuallyExchangeMandatoryAndOptional;[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]CreateChildrenFeaturesWithGroup;[#LhsNode:2 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]CreateFeatureWithSubFeatures;[#LhsNode:3 ,#LhsEdges:3 ,#deleteNodes:1 ,#deleteEdges:3]ReplaceFeature;[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:0]AddSiblingFeaturesWithGroup;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-4;[#LhsNode:10 ,#LhsEdges:20 ,#deleteNodes:4 ,#deleteEdges:15]Generalization_2-5;[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0]Generalization_2-7;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:5]ExtractALTGroup;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:1 ,#deleteEdges:6]Refactoring_1-1;[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:2]Refactoring_1-2;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-3;[#LhsNode:5 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-4;[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-5;[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:4]Refactoring_1-6;[#LhsNode:4 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1]Refactoring_1-8;[#LhsNode:7 ,#LhsEdges:12 ,#deleteNodes:0 ,#deleteEdges:6]PushDownGroup;[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-2;[#LhsNode:5 ,#LhsEdges:3 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-3;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0]Specialization_3-4;[#LhsNode:7 ,#LhsEdges:9 ,#deleteNodes:0 ,#deleteEdges:2]Specialization_3-5;[#LhsNode:5 ,#LhsEdges:7 ,#deleteNodes:0 ,#deleteEdges:2]Specialization_3-6;[#LhsNode:3 ,#LhsEdges:2 ,#deleteNodes:2 ,#deleteEdges:2]Specialization_3-7;
addToGroup_features_Feature;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
createConcreteFeature_IN_Feature;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
createGroup_IN_FeatureModel;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
deleteConcreteFeature_IN_Feature;1/1/3/1;1/1/1/1;2/2/3/1;1/1/2/1;0/0/0/0;4/2/3/2;0/0/1/0;1/1/3/1;0/0/0/0;1/1/1/1;2/2/3/1;0/0/2/0;0/0/2/0;1/1/1/1;1/1/1/1;1/1/1/1;1/1/2/1;0/0/0/0;4/2/2/2;4/2/2/2;1/1/2/1;0/0/1/0;1/1/1/1;1/1/1/1;2/2/3/1;1/1/1/1;1/1/1/1;0/0/2/0;TO/1/2/1;2/2/3/1;TO/0/5/0;1/1/1/1;0/0/2/0;0/0/3/0;TO/2/4/1;1/1/3/1;1/1/3/1;1/1/3/1;1/1/3/1;4/2/3/2;0/0/5/0;3/3/4/1;3/3/4/1;2/2/3/1;TO/0/5/0;0/0/4/0;1/1/3/1;
FloatTest;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
moveFeature_FROM_Feature_children_TO_Feature_Feature;4/2/2/1;0/0/0/0;4/2/2/1;1/1/1/1;0/0/0/0;2/1/1/1;0/0/0/0;4/2/2/1;0/0/0/0;0/0/0/0;4/2/2/1;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;1/1/1/1;0/0/0/0;0/0/0/0;0/0/0/0;4/2/2/1;0/0/0/0;0/0/0/0;1/1/1/1;TO/1/1/1;4/2/2/1;TO/3/3/1;0/0/0/0;0/0/0/0;4/2/2/1;TO/3/3/2;4/2/2/2;4/2/2/2;4/2/2/2;4/2/2/2;2/1/1/1;16/4/4/1;9/3/3/1;9/3/3/1;4/2/2/1;TO/4/4/1;9/3/3/1;4/2/2/2;
removeFromGroup_features_Feature;1/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;4/2/2/2;1/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;4/2/2/2;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;1/2/2/2;TO/0/0/0;0/0/0/0;TO/2/2/1;0/0/0/0;2/2/2/1;0/0/0/0;TO/0/0/0;0/0/0/0;1/2/2/2;0/0/0/0;1/2/2/2;0/0/0/0;4/8/8/5;0/0/0/0;0/0/0/0;0/0/0/0;TO/5/5/2;3/4/4/2;0/0/0/0;
addToGroup_features_Feature;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
changeGroupFromALTtoOR;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
createConcreteFeature_IN_Feature;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;0/0/0/0;TO/0/0/0;0/0/0/0;0/0/0/0;
