RUNTIME - essentialCPs / conflictAtoms[ms];addToGroup_features_Feature;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteConcreteFeature_IN_Feature;FloatTest;moveFeature_FROM_Feature_children_TO_Feature_Feature;removeFromGroup_features_Feature;addToGroup_features_Feature;changeGroupFromALTtoOR;createConcreteFeature_IN_Feature;createGroup_IN_FeatureModel;deleteExcludeConstraint_IN_FeatureModel;deleteRequireConstraint_IN_FeatureModel;setFeatureConcrete;setFeatureOptional;createAbstractFeature_IN_Feature;deleteAbstractFeature_IN_Feature;changeGroupFromORtoALT;createExcludeConstraint_IN_FeatureModel;createRequireConstraint_IN_FeatureModel;deleteConcreteFeature_IN_Feature;removeFromGroup_features_Feature;setFeatureAbstract;setFeatureMandatory;mutuallyExchangeMandatoryAndOptional;CreateChildrenFeaturesWithGroup;CreateFeatureWithSubFeatures;ReplaceFeature;AddSiblingFeaturesWithGroup;Generalization_2-4;Generalization_2-5;Generalization_2-7;ExtractALTGroup;Refactoring_1-1;Refactoring_1-2;Refactoring_1-3;Refactoring_1-4;Refactoring_1-5;Refactoring_1-6;Refactoring_1-8;PushDownGroup;Specialization_3-2;Specialization_3-3;Specialization_3-4;Specialization_3-5;Specialization_3-6;Specialization_3-7;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];333/10;112/1;89/1;49/1;48/0;46/0;54/1;56/0;50/1;45/0;48/0;48/0;45/1;45/1;41/0;43/1;41/1;47/1;46/1;42/0;37/1;41/1;38/0;39/0;36/0;41/1;40/0;35/1;1/0;57/0;2/0;32/0;35/1;35/0;1/1;33/1;38/0;34/0;33/0;35/0;39/1;37/0;36/1;35/0;2/0;37/1;37/3;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];75/1;40/0;37/1;33/0;34/0;34/0;34/0;35/0;32/0;33/0;32/1;35/0;36/1;32/1;31/0;32/0;33/0;32/0;33/0;37/0;34/0;35/1;47/0;32/1;34/1;37/0;45/1;39/1;1/0;35/0;1/1;31/1;36/1;36/1;0/0;34/0;34/1;35/0;34/1;33/0;34/0;34/0;37/0;33/0;1/0;34/0;34/1;
createGroup_IN_FeatureModel[#LhsNode:4 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:0];51/1;34/0;35/1;35/0;34/1;34/0;36/0;36/1;34/1;34/0;41/0;39/0;38/0;34/1;34/0;34/1;41/0;37/0;37/0;34/1;36/0;36/0;37/1;36/0;37/0;39/0;37/0;37/0;2/1;40/0;1/1;35/0;44/1;45/1;1/1;40/0;37/1;37/0;37/0;39/0;39/0;39/0;37/0;34/0;1/0;36/0;31/1;
deleteConcreteFeature_IN_Feature[#LhsNode:2 ,#LhsEdges:1 ,#deleteNodes:1 ,#deleteEdges:1];360/6;93/1;202/3;147/2;50/0;264/2;229/1;213/3;47/0;74/1;319/5;126/1;103/1;75/1;63/0;66/0;120/2;49/0;128/2;108/1;95/1;115/1;62/1;65/1;132/2;70/1;73/0;93/1;0/1;124/2;2/3;81/3;121/1;171/1;1/3;138/1;156/2;129/2;120/2;140/2;283/2;180/2;190/2;131/1;1/2;249/2;142/2;
FloatTest[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];58/1;63/0;43/0;45/1;40/0;40/0;40/0;35/0;37/1;37/0;35/0;39/1;36/0;37/0;37/0;39/0;41/1;38/1;54/1;41/0;40/1;46/0;41/0;37/0;38/0;38/0;39/1;40/0;1/1;42/1;0/1;39/1;39/1;39/1;1/0;38/0;40/0;38/1;37/1;37/0;38/0;37/1;36/0;38/0;1/0;39/0;37/1;
moveFeature_FROM_Feature_children_TO_Feature_Feature[#LhsNode:3 ,#LhsEdges:1 ,#deleteNodes:0 ,#deleteEdges:1];123/3;77/1;95/10;67/1;36/0;73/0;38/0;96/1;37/1;37/0;109/1;37/0;35/0;37/0;35/0;41/0;70/1;35/1;35/0;37/0;63/1;37/1;35/1;36/0;88/1;38/1;35/1;69/1;0/1;90/1;1/0;38/0;37/0;110/1;1/0;101/1;121/1;108/1;115/1;91/1;526/1;230/1;210/1;124/1;1/1;199/1;106/1;
removeFromGroup_features_Feature[#LhsNode:2 ,#LhsEdges:2 ,#deleteNodes:0 ,#deleteEdges:2];166/1;58/1;51/1;46/1;41/1;42/1;160/1;114/0;46/1;42/0;44/0;42/1;42/1;41/0;40/1;41/1;43/1;43/0;46/0;49/1;42/0;152/0;51/1;42/1;41/0;41/1;41/0;94/1;0/1;43/0;1/1;41/1;155/0;52/1;1/0;42/1;110/1;45/0;102/2;45/1;310/2;62/1;43/1;36/0;1/1;174/1;45/1;
addToGroup_features_Feature[#LhsNode:4 ,#LhsEdges:4 ,#deleteNodes:0 ,#deleteEdges:0];65/1;44/1;39/0;42/0;39/1;39/0;41/1;41/0;41/0;41/1;38/0;38/1;38/1;37/1;39/0;42/0;33/0;36/0;39/0;37/0;39/0;39/0;37/0;36/1;38/0;38/0;41/0;41/0;1/0;43/0;1/0;38/1;40/1;40/0;1/0;40/1;41/0;41/1;39/1;37/1;40/0;39/0;38/1;38/1;1/0;39/0;38/0;
changeGroupFromALTtoOR[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];52/1;41/0;39/0;38/1;37/0;43/1;37/0;44/0;43/1;35/0;34/0;38/0;38/0;39/0;40/0;39/0;38/0;36/0;35/1;35/1;36/0;36/1;35/1;35/1;34/0;36/0;36/0;35/0;1/0;35/0;1/0;36/0;40/0;39/0;0/0;36/0;33/0;44/0;45/1;37/0;44/0;44/0;44/1;43/1;0/1;44/0;43/0;
createConcreteFeature_IN_Feature[#LhsNode:1 ,#LhsEdges:0 ,#deleteNodes:0 ,#deleteEdges:0];66/0;43/0;44/1;43/1;43/0;46/0;46/0;42/0;43/0;41/1;43/0;44/0;49/0;49/1;44/0;44/0;47/0;47/0;47/1;45/1;43/0;46/0;45/0;44/0;45/0;44/1;44/0;48/1;0/1;43/1;0/1;43/0;51/1;45/0;1/0;46/0;43/0;46/1;47/1;44/0;44/0;43/0;42/0;42/1;0/1;43/1;42/0;
