\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;moveMethod;moveAttribute;deleteClass;introduceNewPackageForSingleClass;newPackageForImplementations;joinClassesWithCommonSuperclass;
decapsulateAttribute;3;3;2;0;0;0;0;0;
pullUpEncapsulatedAttribute;1;13;2;1;0;0;0;0;
moveMethod;2;2;1;0;0;0;0;1;
moveAttribute;1;1;0;1;0;0;0;1;
deleteClass;0;0;1;1;0;1;0;0;
introduceNewPackageForSingleClass;0;0;0;0;1;0;3;1;
newPackageForImplementations;0;0;0;0;0;2;12;0;
joinClassesWithCommonSuperclass;0;0;2;2;0;1;2;3;
SUM:;=SUMME(B2:CCC9);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC9."TO");
MAXIMUM:;=MAX(B2:CCC9);
AVERAGE:;=MITTELWERT(B2:CCC9);
