\/firstRule / secondRule->;decapsulateAttribute;pullUpEncapsulatedAttribute;moveMethod;moveAttribute;deleteClass;introduceNewPackageForSingleClass;newPackageForImplementations;joinClassesWithCommonSuperclass;
decapsulateAttribute;2979;1006;168;75;61;50;72;112;
pullUpEncapsulatedAttribute;283;306;99;81;73;63;53;557;
moveMethod;63;59;37;36;51;46;50;45;
moveAttribute;49;47;49;38;44;38;38;46;
deleteClass;59;48;40;35;34;38;55;51;
introduceNewPackageForSingleClass;35;38;36;34;35;36;50;37;
newPackageForImplementations;34;36;35;34;60;48;108;210;
joinClassesWithCommonSuperclass;135;390;73;60;67;45;177;912;
SUM:;=SUMME(B2:CCC9);
TIMEOUTS:;=ZÄHLENWENN(B2:CCC9."TO");
MAXIMUM:;=MAX(B2:CCC9);
AVERAGE:;=MITTELWERT(B2:CCC9);
